,new_benchmark_no_dr,benchmark_overall_best,ICA_overall_best,PCA_best_benchmark,PCA_overall_best_k=4,PCA_overall_best,RP_best_benchmark,RP_overall_best_k=8,RP_overall_best,RF_overall_best
Unnamed: 0,10,7,299,152,2,294,156,171,161,92
mean_fit_time,7.247729206085205,24.09506058692932,24.774409198760985,2.887222957611084,2.831285572052002,11.925941181182859,6.647549104690553,4.240206003189087,16.348510599136354,0.8562954425811767
mean_score_time,0.0118283748626709,0.04131989479064942,0.036016559600830084,0.009910392761230468,0.014527273178100588,0.019743919372558597,0.015908527374267574,0.012748241424560549,0.034076356887817384,0.004418134689331055
mean_test_score,0.6544295220516005,0.5882683358568415,0.5518710884249324,0.5000000000000001,0.5000000000000001,0.6382968876679873,0.5234890010606166,0.5372533341849862,0.5939460706770995,0.6565748205200275
mean_train_score,0.660188665833651,0.5908525322343758,0.5557014482766733,0.5,0.5,0.6400796591569391,0.5237926910274094,0.5389968712974733,0.5963439963298706,0.6564979706171911
param_NN__activation,,,,,,,,,,
param_NN__alpha,0.001,0.1,0.0001,0.001,0.1,0.0001,0.001,0.001,0.001,0.01
param_NN__hidden_layer_sizes,"(50, 50)","(50, 50)","(100, 25, 100)","(50, 50)","(50, 50)","(100, 25, 100)","(50, 50)","(50,)","(50, 50)","(50,)"
param_NN__learning_rate_init,,,,,,,,,,
param_gmm__n_components,,9,40,4,4,15,8,8,25,4
params,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50)}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 40}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 15}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 8}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 4}"
rank_test_score,1,1,1,236,236,1,128,102,1,1
split0_test_score,0.6463219031190033,0.5818956027773178,0.536249907767023,0.5000000000000001,0.5000000000000001,0.6433659334983466,0.5247291704398339,0.5247291704398339,0.5910768787018963,0.6596284520287902
split0_train_score,0.6623623327812437,0.5927301655050631,0.546179818925479,0.5000000000000001,0.5000000000000001,0.6418731050584965,0.5254862808334805,0.5264217625370591,0.5887913107746059,0.6456201550387597
split1_test_score,0.650786883724573,0.5857684008504787,0.5954921061471279,0.5000000000000001,0.5000000000000001,0.6395364460866646,0.5681659388646288,0.6170305676855896,0.6136412495801142,0.6537487403426271
split1_train_score,0.6608886637604362,0.5898072617802199,0.5994900044113648,0.4999999999999998,0.4999999999999998,0.6334351611848248,0.5701226933680801,0.613710642924633,0.6120276373331679,0.6470945879491786
split2_test_score,0.6604207507077724,0.5971376802174833,0.5101444407121264,0.5000000000000001,0.5000000000000001,0.6269566677863623,0.5000000000000001,0.5000000000000001,0.5884044339939537,0.6339771582129662
split2_train_score,0.6626179469974419,0.591554850187198,0.5143101754937409,0.4999999999999998,0.4999999999999998,0.6513315383120679,0.4999999999999998,0.4999999999999998,0.5982382497195199,0.6520357447745222
split3_test_score,0.6398505113436108,0.5899880510432055,0.5149580114208936,0.5000000000000001,0.5000000000000001,0.6368223043332215,0.5245414847161574,0.5267651998656366,0.5890292240510583,0.6870742358078603
split3_train_score,0.6478312363698469,0.5872459365813478,0.513463352110913,0.5,0.5,0.6343156081594761,0.5233544809354864,0.5307610530002256,0.5911382568094384,0.6893183893468373
split4_test_score,0.6747675613630433,0.5865519443957221,0.6025335215243472,0.5,0.5,0.6448035756292637,0.5,0.5177393554457775,0.5875773767516886,0.6484417111940047
split4_train_score,0.6672431492592862,0.5929244471180504,0.605063890441869,0.5,0.5,0.6394428830698304,0.5,0.5240908980254487,0.5915245270126201,0.6484209759766566
std_fit_time,0.8957436006078139,3.8859283152479933,5.300194865882547,0.07809506159790337,0.039707425945333004,2.0182712377743406,2.063241967475327,0.7796953287001154,2.5513177303247363,0.11364266287504494
std_score_time,0.0030818533210072727,0.012059932077085231,0.01467094153127822,0.001632677592356295,0.0052716594563625395,0.00220816359764449,0.001955275557672265,0.002261049072941973,0.003624587979405779,0.0001331564669319456
std_test_score,0.01217440360597383,0.0051269892002335435,0.03953832308629149,7.446335752961717e-17,7.446335752961717e-17,0.00632989796821909,0.0249076442640466,0.0409872973684681,0.009915308556788523,0.017460287563665536
std_train_score,0.006535870736554789,0.002117154270147165,0.039854846632935335,1.1905815549843722e-16,1.1905815549843722e-16,0.006443606966774654,0.0256191868881664,0.038861430092818026,0.008449081116615244,0.016547384475154737
