,new_benchmark_no_dr,benchmark_overall_best,ICA_overall_best,PCA_best_benchmark,PCA_overall_best_k=4,PCA_overall_best,RP_best_benchmark,RP_overall_best_k=8,RP_overall_best,RF_overall_best
Unnamed: 0,10,224,297,152,62,87,156,216,295,143
mean_fit_time,7.247729206085205,29.881415557861327,15.286271047592162,4.7664001941680905,7.9560239791870115,12.093742179870606,7.103755903244019,13.492523527145385,17.812238931655887,5.156367778778076
mean_score_time,0.0118283748626709,0.01940779685974121,0.016598892211914063,0.00869455337524414,0.014435386657714844,0.009979963302612305,0.009158182144165037,0.017639350891113282,0.01702432632446289,0.015936756134033205
mean_test_score,0.6544295220516005,0.6481910872168539,0.5603500648399806,0.609958339859113,0.6253164771416259,0.6377055929979896,0.5506284256092808,0.5878638921692163,0.600820683800211,0.6485539984025788
mean_train_score,0.660188665833651,0.6482146576941441,0.5567691664070823,0.6110220896505434,0.6258759263673775,0.6385520796375468,0.5502325968701449,0.5887395160850696,0.6038416414422499,0.6480670178227753
param_NN__activation,,,,,,,,,,
param_NN__alpha,0.001,0.001,0.0001,0.001,0.1,0.01,0.001,0.001,0.0001,0.01
param_NN__hidden_layer_sizes,"(50, 50)","(100, 25, 100)","(100, 25, 100)","(50, 50)","(100, 25, 100)","(50, 50)","(50, 50)","(100, 25, 100)","(100, 25, 100)","(100, 25, 100)"
param_NN__learning_rate_init,,,,,,,,,,
param_km__n_clusters,,40,30,4,4,30,8,8,20,10
params,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50)}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 40}","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 30}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 4}","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 8}","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 20}","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 10}"
rank_test_score,1,1,1,174,37,1,240,46,1,1
split0_test_score,0.6463219031190033,0.6404464783156543,0.5000000000000001,0.6359705256944305,0.6237793384715488,0.6445552358145682,0.5795561413747075,0.5812129810369001,0.5974396125544176,0.6596284520287902
split0_train_score,0.6623623327812437,0.6530260790671455,0.5000000000000001,0.6301287510393309,0.6165903230954001,0.6396597293960543,0.5767727204011187,0.5804811576675318,0.5918533682716454,0.6456201550387597
split1_test_score,0.650786883724573,0.6406597232620289,0.6497044004030904,0.5907457171649313,0.6336949949613706,0.6340073899899229,0.5610681894524691,0.5827712462210279,0.5998286865972456,0.6537487403426271
split1_train_score,0.6608886637604362,0.6394240214508619,0.6385480879698944,0.5834395876614262,0.6272104520761181,0.6270704797079104,0.5563467803773725,0.5754100346650416,0.5944551548807161,0.6470945879491786
split2_test_score,0.6604207507077724,0.6617810099451781,0.5000000000000001,0.5983943567349682,0.6144743029895869,0.6284749748068525,0.5211420893516965,0.5902855223379242,0.5866476318441386,0.6339771582129662
split2_train_score,0.6626179469974419,0.6588478224169799,0.4999999999999998,0.6212708508771034,0.6341000771579576,0.6482488090385251,0.5286087023648467,0.5977109763900678,0.6062313456753323,0.6520357447745222
split3_test_score,0.6398505113436108,0.6484721229949463,0.5000000000000001,0.6169801813906618,0.6282163251595567,0.6338293584145113,0.5498723547195163,0.5780517299294593,0.6071649311387303,0.6467517635203225
split3_train_score,0.6478312363698469,0.6454474096168862,0.5,0.6166787119721271,0.6288575043512328,0.6358418295868216,0.5503544140660959,0.5794306354745516,0.615312926709511,0.6474128157264717
split4_test_score,0.6747675613630433,0.6495961015664619,0.652097657693988,0.6076912995261619,0.6264183217394227,0.6476620627079342,0.5414904056188461,0.6070067547131767,0.6130278589911617,0.6486601471922573
split4_train_score,0.6672431492592862,0.6443279559188472,0.6452977440655173,0.6035925467027293,0.6226212751561795,0.6419395504584229,0.5390803671412909,0.6106647762281554,0.6113554116740454,0.6481717856249443
std_fit_time,0.8957436006078139,5.148385582228784,4.643964246064543,1.0773688947869495,2.0987744765766543,1.9884937804189209,1.828642017811141,4.397137930870843,1.6127689639602234,0.6956559711115123
std_score_time,0.0030818533210072727,0.0007055098056055685,0.009296051943907877,0.0017462938552365115,0.0011345089462532045,0.0012007333425154204,0.0012558601138673714,0.00031346599483382564,0.0013877240708611179,0.0005727274532387822
std_test_score,0.01217440360597383,0.007790243336964132,0.07392778197743155,0.015710878512778255,0.006320421936240212,0.007210233675400832,0.019491417160388352,0.010379326295306213,0.008972278487664478,0.008548849824908934
std_train_score,0.006535870736554789,0.006873912507799704,0.06956050005264072,0.01623632665714093,0.005918151822966519,0.007012859615125463,0.01633242956776507,0.013369629383392874,0.009225861896685887,0.00215046542104566
