,new_benchmark_no_dr,benchmark_overall_best,ICA_overall_best,PCA_best_benchmark,PCA_overall_best_k=4,PCA_overall_best,RP_best_benchmark,RP_overall_best_k=8,RP_overall_best,RF_overall_best
Unnamed: 0,4,297,142,62,62,149,66,156,164,217
mean_fit_time,7.2095340251922595,299.7270011425018,4.3510933876037585,1.7820383548736571,1.7820383548736571,2.8702209949493414,1.60826416015625,0.9518476963043212,2.0855652332305907,1.443546199798584
mean_score_time,0.019202756881713863,0.1150376796722412,0.027962875366210938,0.00548863410949707,0.00548863410949707,0.00822477340698242,0.005948019027709961,0.0037379741668701174,0.007514429092407226,0.006856727600097656
mean_test_score,0.9284564435668816,0.852275802043134,0.82858351052086,0.7911450123362134,0.7911450123362134,0.8469253050067946,0.6720580937027625,0.6742655285377257,0.7429772355338476,0.8896425622916373
mean_train_score,0.960051538093012,0.8544204028214459,0.8220351608117366,0.7873395361673236,0.7873395361673236,0.8476262877903424,0.6730988447283638,0.6761896316650814,0.7566193539346304,0.8801827996398502
param_NN__activation,,,,,,,,,,
param_NN__alpha,0.1,0.0001,0.01,0.1,0.1,0.01,0.1,0.001,0.001,0.001
param_NN__hidden_layer_sizes,"(100, 25, 100)","(100, 25, 100)","(100, 25, 100)","(100, 25, 100)","(100, 25, 100)","(100, 25, 100)","(100, 25, 100)","(50, 50)","(50, 50)","(100, 25, 100)"
param_NN__learning_rate_init,,,,,,,,,,
param_gmm__n_components,,30,9,4,4,40,8,8,40,9
params,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100)}","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 30}","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 9}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 4}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 4}","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 40}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 8}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 40}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'gmm__n_components': 9}"
rank_test_score,1,1,1,193,193,1,160,157,1,1
split0_test_score,0.9176400104718369,0.8199347524014741,0.8456901500861148,0.8696998277700319,0.8696998277700319,0.8628106290494546,0.6770072992700731,0.6826252767981629,0.7573402772082343,0.8889321741983104
split0_train_score,0.9363332070228622,0.8569012883668055,0.8429319506784297,0.8173657328586905,0.8173657328586905,0.832799360264149,0.6980833720270341,0.7017089717793944,0.7584700510756849,0.8925540422019295
split1_test_score,0.9465273571572784,0.8614577024025841,0.8233115199407334,0.7340206609869532,0.7340206609869532,0.8886282257068773,0.6888298966950652,0.6896839115940239,0.7517183191340495,0.9081676750216076
split1_train_score,0.9572113366763128,0.8348671276149242,0.8107946857724573,0.7212034328569771,0.7212034328569771,0.8375997061969254,0.6427573676275401,0.6389173098978133,0.7275240647913095,0.8877743128487301
split2_test_score,0.9152130022208762,0.8561982636785785,0.8063341153228792,0.8004486150553565,0.8004486150553565,0.8352574391900234,0.6987179487179487,0.7063011894472568,0.7544244145367739,0.8898526567065892
split2_train_score,0.9592811858004376,0.8739247608738873,0.7883316366635309,0.8182306096413797,0.8182306096413797,0.8480187621612567,0.6951412960839143,0.7004187982423361,0.7829877710913239,0.8791187196371275
split3_test_score,0.9318291944276194,0.8776700989299412,0.8440429626870304,0.7724591792388402,0.7724591792388402,0.8205438629167442,0.6235798100204879,0.6223691562674615,0.7066182405165455,0.8965667101260322
split3_train_score,0.9842099449954712,0.8747354701893126,0.8259374642109422,0.7823426922121722,0.7823426922121722,0.8628267339919162,0.6345810122721883,0.6439887894194354,0.7256618321681381,0.8587919801627283
split4_test_score,0.9310935441370224,0.8461589135502179,0.8235239336934252,0.7788539144471348,0.7788539144471348,0.8272490221642763,0.6720370025454772,0.6702055007139751,0.7446762277270752,0.864655118892407
split4_train_score,0.9632220159699768,0.8316733670623011,0.8421800667333227,0.7975552132673978,0.7975552132673978,0.8568868763374653,0.6949311756311419,0.6959142889864279,0.7884530505466959,0.8826749433487363
std_fit_time,2.012679611003576,180.2002650585946,0.9484771281285548,0.28979446283721816,0.28979446283721816,0.3939501448605358,0.3947019909994468,0.3178020018835529,0.21893085860313985,0.2396874458248952
std_score_time,0.0026450002061902483,0.04002947240969189,0.004521995103228046,0.0008261496537320313,0.0008261496537320313,0.00020418345287103297,0.0005793187124745004,0.00029450994659276195,0.001094867131169397,0.0005575308723217786
std_test_score,0.011291080553819426,0.019128456114389056,0.014701033637573309,0.044805945696559636,0.044805945696559636,0.02533903841574261,0.025934590886235127,0.02842376071888895,0.018638103763165284,0.014247843713409378
std_train_score,0.015263682186998313,0.018433854428294483,0.020591244995187018,0.03566270762948357,0.03566270762948357,0.01129013923221772,0.028252347118531668,0.028472694114167137,0.026521714678740663,0.011624017547742713
