,new_benchmark_no_dr,benchmark_overall_best,ICA_overall_best,PCA_best_benchmark,PCA_overall_best_k=4,PCA_overall_best,RP_best_benchmark,RP_overall_best_k=8,RP_overall_best,RF_overall_best
Unnamed: 0,4,298,273,62,77,148,66,216,74,74
mean_fit_time,7.2095340251922595,11.723618841171264,0.5567348003387451,1.6599161624908447,1.0302282333374024,2.7164406776428223,2.002399682998657,2.525674295425415,3.098556423187256,4.411452627182007
mean_score_time,0.019202756881713863,0.016218519210815432,0.004215145111083984,0.004382228851318361,0.00322113037109375,0.00532078742980957,0.005118751525878906,0.005797910690307617,0.005199480056762696,0.005603599548339844
mean_test_score,0.9284564435668816,0.8871699334646872,0.5016898796646162,0.8478852612688362,0.8507726826235461,0.8672448611178446,0.6717719337183653,0.6885526544566243,0.7265173396995406,0.8834567583307611
mean_train_score,0.960051538093012,0.8838882302943208,0.500471805190115,0.851925675457544,0.8506622657488189,0.8621049638647451,0.6798555501456881,0.6907554070230256,0.7182787720531711,0.8869010256418661
param_NN__activation,,,,,,,,,,
param_NN__alpha,0.1,0.0001,0.0001,0.1,0.01,0.01,0.1,0.001,0.1,0.1
param_NN__hidden_layer_sizes,"(100, 25, 100)","(100, 25, 100)","(25, 25)","(100, 25, 100)","(50, 50)","(100, 25, 100)","(100, 25, 100)","(100, 25, 100)","(100, 25, 100)","(100, 25, 100)"
param_NN__learning_rate_init,,,,,,,,,,
param_km__n_clusters,,35,5,4,4,35,8,8,40,40
params,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100)}","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 35}","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (25, 25), 'km__n_clusters': 5}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 4}","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 35}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 8}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 8}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 40}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'km__n_clusters': 40}"
rank_test_score,1,1,1,151,117,1,141,69,1,1
split0_test_score,0.9176400104718369,0.8752391405038564,0.5084269662921349,0.8705404740424834,0.8795210366603788,0.8729188878864922,0.6487533830886575,0.6459443943246126,0.7414705158697613,0.8752973017305009
split0_train_score,0.9363332070228622,0.8812886825817859,0.5023590259505752,0.8572705463550534,0.8490687716039829,0.8469586751276892,0.6280168188618892,0.6284746943197647,0.7048341330031471,0.8818216994273331
split1_test_score,0.9465273571572784,0.9041792852816474,0.5,0.8752006420545747,0.8788636457175782,0.8849652220438737,0.7166831296044779,0.734638021154875,0.7624912540642877,0.8925381734370498
split1_train_score,0.9572113366763128,0.8682873489584485,0.5,0.8619402600414932,0.8564810638763966,0.8593946110330786,0.7076659407497132,0.7242542169761477,0.7170302694483459,0.8725339226576292
split2_test_score,0.9152130022208762,0.8832121946295173,0.5,0.8325719224595629,0.8411223607852821,0.8484483681112894,0.6553792649298268,0.6534242910647404,0.6718730707494751,0.8837407910441618
split2_train_score,0.9592811858004376,0.89422562901765,0.5,0.8416504516577967,0.8550365320928316,0.8715410486707988,0.6995702485728645,0.7047768771825832,0.7161398399546409,0.8850179761091712
split3_test_score,0.9318291944276194,0.8737330910559257,0.4999999999999999,0.8423666728751474,0.83091202582728,0.857949959644875,0.6938287700999566,0.6940460669274228,0.7326007326007327,0.9020612156205376
split3_train_score,0.9842099449954712,0.8946939406657975,0.5,0.8535823801380219,0.8451847390953556,0.8681656571739609,0.7032863523534882,0.6920487490397272,0.728896841297967,0.8922403532002013
split4_test_score,0.9310935441370224,0.8995236647410558,0.5,0.8186192338734711,0.8232755944620351,0.8719190414105669,0.644254051033712,0.7148755199602657,0.7241261563295461,0.8636617619668466
split4_train_score,0.9632220159699768,0.8809455502479231,0.5,0.8451847390953554,0.8475402220755273,0.864464827318198,0.6607383901904846,0.7042224975969054,0.724492776561754,0.902891176814996
std_fit_time,2.012679611003576,1.647892789367888,0.04979946732637997,0.24917517444513074,0.1179659718332998,0.7493146953636953,1.0046037049829046,0.9256868636498018,0.6387905494608317,0.24030857513724466
std_score_time,0.0026450002061902483,0.01167147790899401,0.0007918970454640476,0.00020213287431171767,0.0005882828086354019,0.0002951889303303564,0.0005471581746429066,0.0003914466973214937,0.0003656652850846351,0.0008102678810620133
std_test_score,0.011291080553819426,0.012493782681218344,0.0033741466610984552,0.021822325849627938,0.023915618193785747,0.012711779925629984,0.028494013501209805,0.034355310510187836,0.03016242638748045,0.013311659945516236
std_train_score,0.015263682186998313,0.009822725707445057,0.0009436103802301144,0.007518306549648019,0.004365370459075174,0.00858017168071529,0.030866841489179814,0.032804555569719666,0.008224954163784451,0.010197572572045122
