,ass1_benchmark,new_benchmark_no_dr,ass1_ICA_dr,ICA_best_benchmark,ICA_overall_best_n=15,ICA_overall_best,ass1_PCA_dr,PCA_best_benchmark,PCA_overall_best_n=3,PCA_overall_best,ass1_RP_dr,RP_best_benchmark,RP_overall_best_n=7,RP_overall_best,ass1_RF_dr
Unnamed: 0,0,10,0,199,370,370,0,191,96,279,0,195,81,187,0
mean_fit_time,0.8132955074310303,7.247729206085205,1.171837854385376,12.433874559402465,22.871878385543823,22.871878385543823,0.7113519668579101,7.3811133861541744,8.598991107940673,13.453093814849856,0.923838233947754,357.1697667598725,23.19090600013733,23.2358962059021,2.5890526294708254
mean_score_time,0.0056062698364257825,0.0118283748626709,0.003997325897216797,0.00912027359008789,0.02316226959228516,0.02316226959228516,0.004106712341308594,0.010284233093261718,0.010386371612548828,0.02178616523742676,0.003428363800048828,0.04126110076904297,0.08583331108093263,0.08454961776733398,0.10718832015991213
mean_test_score,0.6376586297235154,0.6544295220516005,0.6522962169754165,0.6533466786935062,0.6627015502051988,0.6627015502051988,0.6198225657250213,0.6281457002677737,0.6305469765782675,0.6633219679480999,0.6247268045935856,0.6431231960152154,0.6457569685519648,0.6627346887331308,0.648187829307951
mean_train_score,0.6424727495665171,0.660188665833651,0.6530676996760848,0.6535726261937849,0.6622184418046972,0.6622184418046972,0.6200232068420035,0.6314002854454728,0.6330759365912202,0.6723694195558119,0.6262963597968774,0.649485999054219,0.6496498981985737,0.6674150286350446,0.6483841676816094
param_NN__activation,relu,,relu,,,,relu,,,,relu,,,,relu
param_NN__alpha,0.001,0.001,0.001,0.001,0.0001,0.0001,0.001,0.001,0.01,0.001,0.001,0.001,0.1,0.01,0.001
param_NN__hidden_layer_sizes,"(23, 23)","(50, 50)","(23, 23)","(50, 50)","(100, 25, 100)","(100, 25, 100)","(23, 23)","(50, 50)","(50, 50)","(100, 25, 100)","(23, 23)","(50, 50)","(100, 25, 100)","(100, 25, 100)","(23, 23)"
param_NN__learning_rate_init,0.13,,0.13,,,,0.13,,,,0.13,,,,0.13
param_ica__n_components,,,,15,15,15,,,,,,,,,
param_pca__n_components,,,,,,,,3,3,17,,,,,
param_rp__n_components,,,,,,,,,,,,7,7,50,
params,"{'NN__activation': 'relu', 'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (23, 23), 'NN__learning_rate_init': 0.13}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50)}","{'NN__activation': 'relu', 'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (23, 23), 'NN__learning_rate_init': 0.13}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 15}","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 15}","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 15}","{'NN__activation': 'relu', 'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (23, 23), 'NN__learning_rate_init': 0.13}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 3}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 17}","{'NN__activation': 'relu', 'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (23, 23), 'NN__learning_rate_init': 0.13}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (50, 50), 'rp__n_components': 7}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 7}","{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 50}","{'NN__activation': 'relu', 'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (23, 23), 'NN__learning_rate_init': 0.13}"
rank_test_score,1,1,1,28,1,1,1,204,190,1,1,166,134,1,1
split0_test_score,0.6310541573056629,0.6463219031190033,0.6404298596894324,0.6392262433447337,0.6453251146273856,0.6453251146273856,0.5697325783321414,0.6146598002671483,0.6153508718526212,0.6501022292323938,0.6174908901956357,0.6396436834905301,0.6462679337189952,0.6659621575781429,0.6488087735815837
split0_train_score,0.6440676111531055,0.6623623327812437,0.6392651161214166,0.6497364960498676,0.6594053690996884,0.6594053690996884,0.5882142183700647,0.6320505755803603,0.6324908457696051,0.6716465093151511,0.6193126453924116,0.6572836559266464,0.6588514011805475,0.6735799877515787,0.648783393154903
split1_test_score,0.6141178026951134,0.650786883724573,0.6537515808262518,0.6456912180268327,0.6512390419904966,0.6512390419904966,0.6357901366972504,0.6213508540822091,0.6302011775201652,0.6667457011233862,0.632233257063163,0.6466276200251484,0.6430862072313073,0.6759364595876145,0.6538183844128476
split1_train_score,0.6301248305640557,0.6608886637604362,0.6501568567958168,0.6499086057828211,0.659563040372731,0.659563040372731,0.6249150969194991,0.6323029812499112,0.637040276968328,0.6770186447822941,0.6299744402237886,0.6482143286124368,0.6463871024322756,0.6595058624260759,0.6475309904470871
split2_test_score,0.6551786436502532,0.6604207507077724,0.6524426583351952,0.6609397125602917,0.6759081585607807,0.6759081585607807,0.62331876269227,0.6325865262760224,0.6335897318609338,0.6627392958770338,0.6197362146850076,0.6492582991938486,0.6477168804765366,0.6617425073854163,0.6501973338458231
split2_train_score,0.6550598451538934,0.6626179469974419,0.6532914011937109,0.6550582408805699,0.6643468600175269,0.6643468600175269,0.6266691024197706,0.630281473456763,0.6330155665520035,0.6778654954209923,0.6227927255830421,0.6493919063670398,0.6481244070358984,0.6790000457423573,0.6456639453803343
split3_test_score,0.6380637622134562,0.6398505113436108,0.6582229785251149,0.6567136452742715,0.6672710800691993,0.6672710800691993,0.6529718217206433,0.6412647399810251,0.6421883077927536,0.6559365188223221,0.6384246003055852,0.6390798019849551,0.6383090926262991,0.6487136689681544,0.6443566271626017
split3_train_score,0.6399728886035384,0.6478312363698469,0.6599188599688227,0.6527971616044576,0.6648427038801036,0.6648427038801036,0.6492871761136699,0.6338540256071639,0.6342608940031109,0.6646035026140605,0.6458266351494145,0.6473903080171871,0.6445065650155211,0.6659046916849937,0.6498964297596486
