,ass1_benchmark,new_benchmark_no_dr,ass1_ICA_dr,ICA_best_benchmark,ICA_overall_best_n=60,ICA_overall_best,ass1_PCA_dr,ass1_RP_dr,RP_best_benchmark,RP_overall_best_n=8,RP_overall_best,ass1_RF_dr
Unnamed: 0,0,4,0,94,379,283,0,0,82,272,379,0
mean_fit_time,0.5874680519104004,7.2095340251922595,0.5740676879882812,11.029927015304565,7.007053518295287,11.237278127670288,0.14070048332214355,0.15196118354797364,7.806145095825197,8.558919000625611,6.470389890670776,0.4851272106170654
mean_score_time,0.0023736476898193358,0.019202756881713863,0.002299308776855469,0.01650295257568359,0.008432292938232422,0.01663174629211426,0.0018648147583007813,0.0021048545837402343,0.021962833404541016,0.020038080215454102,0.008998346328735352,0.1053682327270508
mean_test_score,0.9172788869651279,0.9284564435668816,0.9152679313534212,0.9157232607835286,0.918343474939966,0.9201664644067026,0.8676329609735624,0.7873214974505326,0.8105753033357221,0.8156906103337075,0.9285123691053454,0.8975325626193141
mean_train_score,0.9330458391764916,0.960051538093012,0.9256366029459532,0.9283751045865732,0.93052205854652,0.9294082784701632,0.8763046110431137,0.8114685415277639,0.8348429027062341,0.8437158055520207,0.9729635767337138,0.9092071699203912
param_NN__activation,relu,,relu,,,,relu,relu,,,,relu
param_NN__alpha,0.1,0.1,0.1,0.1,0.0001,0.001,0.1,0.1,0.1,0.001,0.0001,0.1
param_NN__hidden_layer_sizes,"(23, 23)","(100, 25, 100)","(23, 23)","(100, 25, 100)","(100, 25, 100)","(100, 25, 100)","(23, 23)","(23, 23)","(100, 25, 100)","(100, 25, 100)","(100, 25, 100)","(23, 23)"
param_NN__learning_rate_init,0.13,,0.13,,,,0.13,0.13,,,,0.13
param_ica__n_components,,,,60,60,55,,,,,,
param_rp__n_components,,,,,,,,,8,8,60,
params,"{'NN__activation': 'relu', 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (23, 23), 'NN__learning_rate_init': 0.13}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100)}","{'NN__activation': 'relu', 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (23, 23), 'NN__learning_rate_init': 0.13}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 60}","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 60}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 55}","{'NN__activation': 'relu', 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (23, 23), 'NN__learning_rate_init': 0.13}","{'NN__activation': 'relu', 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (23, 23), 'NN__learning_rate_init': 0.13}","{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 8}","{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 8}","{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (100, 25, 100), 'rp__n_components': 60}","{'NN__activation': 'relu', 'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (23, 23), 'NN__learning_rate_init': 0.13}"
rank_test_score,1,1,1,11,6,1,1,1,233,228,1,1
split0_test_score,0.9170509696518117,0.9176400104718369,0.9168646917856496,0.9149817749763376,0.9137030025978212,0.9243359445798176,0.8529965563767444,0.7612672936343314,0.7751475119318525,0.786757154076968,0.9364339368064926,0.9111454578407876
split0_train_score,0.9387962612100544,0.9363332070228622,0.9193933939623596,0.921970127573576,0.9224390551976758,0.9257089175192624,0.8822802197802198,0.8161756347101174,0.8574491600353669,0.8772846406467095,0.970929645067576,0.9085085891120376
split1_test_score,0.9283060771249748,0.9465273571572784,0.9357662023016352,0.93343428225318,0.9322430849989904,0.9393397940642034,0.8878760347264284,0.8094992933575609,0.8359176256814049,0.8378861296184131,0.9425903492832628,0.8960730870179691
split1_train_score,0.9280213832865758,0.9572113366763128,0.9224966312487576,0.9272570633325236,0.9242240827056044,0.928094280854448,0.8774901146479932,0.7992356800459475,0.8176367933906205,0.820592458415251,0.9718195674744308,0.9023746934988623
split2_test_score,0.9077528770442156,0.9152130022208762,0.9122350090854026,0.9194225721784776,0.915485564304462,0.9099939430648092,0.8709872804360993,0.7982838683626085,0.8145366444579042,0.8145366444579042,0.925741974560872,0.8779931354734504
split2_train_score,0.9323333848770682,0.9592811858004376,0.9287304778104224,0.9325984669420576,0.9279926660628688,0.9320837659325366,0.8780644591221364,0.8201462369391859,0.8324637168923547,0.8350747752324992,0.9824118049879608,0.9135876648479092
split3_test_score,0.9034928326266908,0.9318291944276194,0.8966686856450634,0.8966686856450634,0.915485564304462,0.9102665051483946,0.8517565112053299,0.7711790833838078,0.8076216434484151,0.8142136079143951,0.9147991116495052,0.8999192408641226
split3_train_score,0.922284565596766,0.9842099449954712,0.9257284234244184,0.931418851752855,0.944425545074996,0.9312973558064016,0.8774724425103271,0.7984205526961052,0.8234730168548011,0.8300514701009519,0.9812542799708408,0.9229450617420308
split4_test_score,0.9298114928549712,0.9310935441370224,0.9148018648018648,0.9141076314989358,0.9148018648018648,0.9168845647106516,0.8745819397993312,0.796432552954292,0.8197223066788283,0.825119083814736,0.9229755751494882,0.9025184959967568
split4_train_score,0.9437936009119936,0.9632220159699768,0.9318340882838076,0.9286310133318536,0.9335289436914556,0.9298570722381676,0.8662158191548927,0.8233646032474641,0.8431918263580281,0.8555756833646916,0.9584025861677604,0.8986198404011159
std_fit_time,0.1585369844973239,2.012679611003576,0.06044601554855576,1.4862998077529448,1.7368428561918818,1.3082458059267597,0.012297565293999956,0.037440246426804366,1.5607257389822151,2.3987855381593044,0.6998677411337727,0.03382225916926115
