,0,1,2,3,4,5,6,7,8,9
2,0.8965728004881194,0.8710929927244264,0.9086658071948214,0.9273411584950352,0.897200076923676,0.9108536985835317,0.8968281430146069,0.9414038245597658,0.9082566833965371,0.9260598945724106
3,0.8986008709104366,0.9073088761166681,0.8769537054796628,0.8416856052268479,0.8770024072421634,0.915806023214497,0.8493721843909943,0.8536451357024865,0.8814258430479288,0.8844246756306188
4,0.8591392761008299,0.7882756640072373,0.8313491272955348,0.8353692271774633,0.8279588980758592,0.8452669153349712,0.8396609226777505,0.7746054607001178,0.8431129050325629,0.8233821101840513
5,0.7927296237348023,0.8241187768728816,0.7865361941166756,0.7727354163004101,0.8202522489674423,0.8378264431756688,0.8016683694683027,0.819674192608062,0.767881563806093,0.8011417239880493
6,0.712327931806004,0.7472393380092895,0.7085608686685397,0.7679992203324347,0.7804406636559027,0.6858817781107608,0.7167348288811048,0.7285104792463222,0.7499660514947665,0.7091408609365898
7,0.7294247722468276,0.7069689504932136,0.6579843647520289,0.744022011473009,0.718684530590052,0.746479141012507,0.7155760638475508,0.6534186478643161,0.6950144170250622,0.7146565179568277
8,0.7107353632793063,0.6400654740430591,0.6571611647552853,0.7478377374118286,0.7513162262756224,0.6092934640038987,0.7000578323101256,0.6086198098562395,0.647124294956231,0.6744128339961504
9,0.5622948716150278,0.5672171580418018,0.5992379256113112,0.5550537231250164,0.5679010527141517,0.6104386910734536,0.5932291435032028,0.5567809930806635,0.5442157226700713,0.6266453283151767
10,0.5563980615708423,0.6316983295066716,0.6393633380562557,0.5666251270836975,0.5963185025773565,0.5609688161164617,0.4940464929096586,0.5604457663445407,0.5284525798235854,0.5899112583730136
15,0.36162751833215556,0.302879396661554,0.35835617215001225,0.3565046084608114,0.43346564506038293,0.281453751931904,0.3169971140387763,0.3563212377110084,0.3333641124520266,0.32624038743208983
20,0.1843742182717751,0.14471430603689409,0.10197709431443447,0.13886064417075641,0.09956125802044978,0.13481932383569367,0.10730060992351251,0.0869261997809732,0.1354313719604247,0.16730848838248483
25,3.9974148608576986e-30,6.332801251422238e-30,9.648559672605076e-30,2.3775492364033685e-29,6.111679695180338e-30,5.979994383270751e-30,1.2016263634772705e-29,6.247156056081887e-30,5.2733436170580355e-30,1.06350683496848e-29
30,6.1948138061824576e-30,2.854603375100945e-30,1.7326485747847957e-30,2.982162922152664e-30,4.264756714065562e-30,8.11471244599387e-30,3.4445016028181435e-30,1.102607343516746e-29,4.956054536651551e-30,5.936818213175051e-30
35,2.4694375775570963e-30,5.8445706067564484e-30,2.4002446028508296e-30,3.074688709942053e-30,7.217210156247428e-30,4.0716178291724105e-30,3.362401309606691e-30,3.748351131903872e-30,2.5669005361684867e-30,6.965077710663855e-30
40,8.89870986530936e-30,8.62939229187888e-30,2.0959742499019317e-30,9.26455986481457e-30,2.6113376079774396e-30,1.5232158967149065e-30,5.588245004670406e-30,2.746636647446906e-30,6.405644475965034e-30,2.381828187010475e-30
45,7.07105324297283e-30,2.5126105276258946e-30,2.277952203177011e-30,3.6591214160018604e-30,2.9447218922528322e-30,1.9210456656123693e-30,3.2991091009858094e-30,5.775598826047929e-30,4.312687675468297e-30,4.654659886413384e-30
50,5.301991574144306e-30,2.4226787479698366e-30,1.9471831938636575e-30,2.335308930825723e-30,2.5372416143270966e-30,1.2611855447630621e-30,2.0284431597320246e-30,6.1495089444591895e-30,7.96371834718072e-30,3.882033452354975e-30
55,4.4704385816323945e-30,6.544436342880371e-30,3.184667747559703e-30,2.024061526676591e-30,3.344660329640684e-30,2.953504616301018e-30,1.831194398526071e-30,1.6999076944733146e-30,3.910507604895189e-30,2.493634500196871e-30
60,1.5516012827972681e-30,3.2432542573398406e-30,4.0042060464520136e-30,2.0537836287363757e-30,8.508189185073364e-30,2.7178947732902032e-30,2.4133964749782166e-30,1.6987092142454405e-30,2.5533563968278026e-30,2.0868352570435763e-30
