k,GMM,Kmeans
2,0.2616885148233516,0.11056943293334358
3,0.07605686430709732,0.10342410157933975
4,0.055654322569244886,0.0940143942256457
5,0.07554693966756328,0.09625716120674499
6,0.07202251600132918,0.09785014751519626
7,0.059668737271956075,0.10070293919023121
8,-0.005815750117688942,0.11304082207494091
9,-0.009902844463713896,0.09741775489421046
10,-0.006875936660647902,0.11345756576479253
15,0.013912489320499063,0.11819311601819607
20,0.009586315822454323,0.1251245215080598
25,0.009049348244134572,0.11493473256157459
30,0.00797219162557042,0.11823703872863185
35,0.005897524275673949,0.11312696750987639
40,0.018786648742047773,0.12087350714431708
