k,GMM,Kmeans
2,0.005013906744438283,1.0316048154795512e-05
3,0.0037491325998148563,0.0062678021551067255
4,0.012733646886134807,0.03417399103842504
5,0.012093831211583982,0.0295446045147664
6,0.03172931852555924,0.02825641074271661
7,0.01587124505508095,0.025982727829564237
8,0.026814074985365095,0.022593502396823357
9,0.02469605381037319,0.022507154710376412
10,0.026566736212533,0.022948913231858263
15,0.021797517450990782,0.024530065213739773
20,0.021597851647756995,0.022169845723547164
25,0.021406054200727276,0.019970770991409738
30,0.02049825747110785,0.02039374444877955
35,0.020137447794129758,0.019858180192334908
40,0.019874838711281727,0.019282947376354075
