k,GMM,Kmeans
2,0.6060337178349601,0.6060337178349601
3,0.632209405501331,0.8380656610470275
4,0.629547471162378,0.8274179236912156
5,0.6632653061224489,0.8260869565217391
6,0.7244897959183674,0.84472049689441
7,0.7284826974267968,0.8464951197870453
8,0.7005323868677906,0.8407275953859805
9,0.7058562555456965,0.8402839396628217
10,0.7200532386867791,0.8433895297249334
15,0.8442768411712511,0.8349600709849158
20,0.8598047914818101,0.8513753327417923
25,0.8318544809228039,0.8558118899733806
30,0.8145519077196096,0.8606921029281278
35,0.8442768411712511,0.8531499556344276
40,0.8243123336291038,0.8620230700976043
