k,GMM,Kmeans
2,0.8291925465838509,0.8283052351375333
3,0.8309671694764863,0.8309671694764863
4,0.8802129547471162,0.821206743566992
5,0.8708961845607809,0.8260869565217391
6,0.8717834960070985,0.8234250221827861
7,0.8615794143744454,0.7985803016858918
8,0.8815439219165927,0.7914818101153505
9,0.8935226264418811,0.7795031055900621
10,0.8917480035492458,0.7839396628216504
15,0.8748890860692103,0.8407275953859805
20,0.8788819875776398,0.7923691215616682
25,0.9032830523513753,0.8061224489795918
30,0.8935226264418811,0.8260869565217391
35,0.885980479148181,0.813220940550133
40,0.8952972493345164,0.8362910381543922
