,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.8212762355804444,0.3104802434819829,0.003204011917114258,0.000340725945816857,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",0.5057615025014353,0.542392064863975,0.7923920648639751,0.5552244365803688,0.809306512696343,0.6409187084349931,0.1316182896569332,281,0.5073582520765619,0.5497880236588791,0.8226060848163088,0.5425749849122983,0.8257669635308695,0.6496188617989835,0.14325878819274956
1,1.3549057960510253,0.3522074187921252,0.003916025161743164,0.0004650941899406803,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 3}",0.8087427212334946,0.8348973124254022,0.7928859529983125,0.8418389520084436,0.7959582790091264,0.8148583481195836,0.02002737562881366,155,0.8122349481504411,0.8260969292424261,0.8252902593971883,0.8152454630734131,0.8167059783329021,0.8191147156392742,0.005567638261164011
2,0.9161960124969483,0.2785004546316943,0.0030687808990478515,0.00043233220308432,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 4}",0.7515582711391782,0.8322117956949417,0.7867843766720171,0.7964859998758304,0.6243248277146581,0.7583125486726383,0.0716878572019414,228,0.7727738224217098,0.8150818911640013,0.8328318492841772,0.7903935413055589,0.6349233004299191,0.7692008809210733,0.0702087325386743
3,1.2442495346069335,0.41080512694838334,0.0029590606689453127,0.00034204375263083265,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",0.8284056425818092,0.8050891056509034,0.7804255669424208,0.852765878189607,0.7973241447817718,0.8127981269404115,0.02524183613518239,158,0.8166370014961565,0.773365076092419,0.8075705836114584,0.8361166765106681,0.8173892678507778,0.8102157211122959,0.020632590219868754
4,1.3276972770690918,0.27422992062181617,0.003241443634033203,0.0005019694139154207,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 6}",0.8250430574920036,0.8084022718854179,0.7818969420093014,0.8280871670702179,0.7692928540386168,0.8025578602270983,0.02333817032297001,196,0.8264909972656451,0.8195598108320553,0.8174413360308235,0.82609509691516,0.7877723346239912,0.815471915133535,0.014297751099505084
5,2.0868951797485353,0.516864220468464,0.002931642532348633,0.00028853705254544933,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 7}",0.8336135487574837,0.8213462567395151,0.8275610157632628,0.809461724715962,0.8064816539392811,0.8197094162963597,0.010370023360790511,135,0.8213124903265749,0.8210346249500662,0.8690978441555095,0.7974258901100598,0.8220320335390923,0.8261805766162607,0.023392790946969576
6,1.741196584701538,0.5326244950649593,0.0031258583068847655,0.0002902374801923485,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 8}",0.7973632412039694,0.8734823229205251,0.7641787051899412,0.8268144285093437,0.8214440926305333,0.8166413678859624,0.03601346370575854,147,0.8102989733271424,0.8411511152919345,0.819669342680051,0.8172927580318688,0.8578770670794712,0.8292578512820936,0.01763548269071986
7,1.51316237449646,0.5673028238631641,0.003067207336425781,0.0005775990793255471,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 9}",0.8230747150004101,0.8258632753014775,0.8013129192904473,0.8675731048612405,0.7453902030173215,0.8126529385476914,0.039847872642715276,160,0.8125109632151887,0.8265601845289484,0.8398625053155162,0.8671484436826602,0.7620125771596,0.8216189347803826,0.034831172850421435
8,1.856795597076416,0.7036435168774825,0.0028763294219970705,0.0001616919156297215,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",0.8279750676617731,0.8508972301107133,0.7939869119644399,0.8455640404792947,0.8337368845843421,0.8304227572926584,0.019966835096064832,106,0.8301243357581386,0.8353601020579101,0.8259944847493009,0.840412650249703,0.8693064032334649,0.8402395952097036,0.015322926456503077
9,1.6358168125152588,0.4654542556624832,0.004111528396606445,0.0008651151050920216,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",0.8408923152628557,0.8587068362349262,0.8679878174260197,0.8905444837648226,0.7836654870553176,0.84836606129945,0.03606318465934902,66,0.8326974668523965,0.8464357048052266,0.8708007422393464,0.884251913789709,0.7941001617504564,0.8456571978874269,0.031459302582559225
