k,type,score,label
2,Kmeans,0.377271,0
2,Kmeans,0.419209,0
2,Kmeans,-0.030492,1
2,Kmeans,0.588392,0
2,Kmeans,-0.110096,1
2,Kmeans,0.557329,0
2,Kmeans,0.229223,0
2,Kmeans,-0.209122,1
2,Kmeans,0.604138,0
2,Kmeans,0.236596,0
2,Kmeans,0.502472,0
2,Kmeans,0.53472,0
2,Kmeans,-0.097264,1
2,Kmeans,0.556141,0
2,Kmeans,-0.246589,1
2,Kmeans,-0.070425,1
2,Kmeans,0.624868,0
2,Kmeans,0.419277,0
2,Kmeans,-0.011037,1
2,Kmeans,0.523441,0
2,Kmeans,-0.130417,1
2,Kmeans,0.229223,0
2,Kmeans,0.317741,0
2,Kmeans,0.625538,0
2,Kmeans,0.33737,0
2,Kmeans,0.428264,0
2,Kmeans,0.472449,0
2,Kmeans,0.612394,0
2,Kmeans,-0.047743,1
2,Kmeans,-0.189301,1
2,Kmeans,0.627394,0
2,Kmeans,0.035545,1
2,Kmeans,0.229223,0
2,Kmeans,0.546599,0
2,Kmeans,0.623213,0
2,Kmeans,0.516122,0
2,Kmeans,0.229223,0
2,Kmeans,0.612678,0
2,Kmeans,-0.108492,1
2,Kmeans,0.590376,0
2,Kmeans,-0.092302,1
2,Kmeans,0.562469,0
2,Kmeans,-0.228907,1
2,Kmeans,0.439613,0
2,Kmeans,-0.002801,1
2,Kmeans,0.609811,0
2,Kmeans,-0.033878,1
2,Kmeans,-0.181532,1
2,Kmeans,0.620709,0
2,Kmeans,0.012726,1
2,Kmeans,0.469518,0
2,Kmeans,0.326268,0
2,Kmeans,0.62368,0
2,Kmeans,0.30032,0
2,Kmeans,-0.170116,1
2,Kmeans,0.623464,0
2,Kmeans,0.398482,0
2,Kmeans,0.453772,0
2,Kmeans,-0.070039,1
2,Kmeans,0.574556,0
2,Kmeans,0.521861,0
2,Kmeans,0.222116,0
2,Kmeans,0.491186,0
2,Kmeans,0.614047,0
2,Kmeans,0.558732,0
2,Kmeans,0.418007,0
2,Kmeans,0.211851,0
2,Kmeans,0.524042,0
2,Kmeans,0.564985,0
2,Kmeans,0.440838,0
2,Kmeans,0.425968,0
2,Kmeans,0.373637,0
2,Kmeans,0.624559,0
2,Kmeans,0.229223,0
2,Kmeans,0.411315,0
2,Kmeans,0.562526,0
2,Kmeans,0.502395,0
2,Kmeans,0.590528,0
2,Kmeans,0.411681,0
2,Kmeans,0.624376,0
2,Kmeans,0.142096,0
2,Kmeans,0.623602,0
2,Kmeans,0.584645,0
2,Kmeans,0.431355,0
2,Kmeans,0.5729,0
2,Kmeans,0.376291,0
2,Kmeans,0.528071,0
2,Kmeans,-0.248305,1
2,Kmeans,0.623753,0
2,Kmeans,0.434569,0
2,Kmeans,0.602348,0
2,Kmeans,0.350257,0
2,Kmeans,-0.112547,1
2,Kmeans,0.426283,0
2,Kmeans,0.373271,0
2,Kmeans,0.489948,0
2,Kmeans,-0.372641,1
2,Kmeans,0.602242,0
2,Kmeans,-0.116192,1
2,Kmeans,-0.165807,1
2,Kmeans,0.229223,0
2,Kmeans,0.623464,0
2,Kmeans,0.558419,0
2,Kmeans,-0.034585,1
2,Kmeans,0.435216,0
2,Kmeans,0.229223,0
2,Kmeans,0.575542,0
2,Kmeans,0.412327,0
2,Kmeans,-0.006864,1
2,Kmeans,0.511477,0
2,Kmeans,0.623602,0
2,Kmeans,0.5443,0
2,Kmeans,0.391143,0
2,Kmeans,0.608118,0
2,Kmeans,0.624056,0
2,Kmeans,0.51692,0
2,Kmeans,0.007178,1
2,Kmeans,-0.205632,1
2,Kmeans,0.528758,0
2,Kmeans,0.55055,0
2,Kmeans,0.490736,0
2,Kmeans,0.4347,0
2,Kmeans,0.602119,0
2,Kmeans,0.02921,1
2,Kmeans,0.624561,0
2,Kmeans,0.511724,0
2,Kmeans,-0.084968,1
2,Kmeans,-0.301233,1
2,Kmeans,0.555104,0
2,Kmeans,-0.080074,1
2,Kmeans,0.383149,0
2,Kmeans,0.573508,0
2,Kmeans,-0.362299,1
2,Kmeans,0.616825,0
2,Kmeans,0.624225,0
2,Kmeans,0.623408,0
2,Kmeans,-0.223851,1
2,Kmeans,0.580836,0
2,Kmeans,0.628032,0
2,Kmeans,-0.131399,1
2,Kmeans,0.467114,0
2,Kmeans,-0.21938,1
2,Kmeans,0.501002,0
2,Kmeans,0.536495,0
2,Kmeans,0.229223,0
2,Kmeans,0.269778,0
2,Kmeans,0.612943,0
2,Kmeans,0.623698,0
2,Kmeans,-0.34937,1
2,Kmeans,-0.108112,1
2,Kmeans,0.62423,0
2,Kmeans,-0.198431,1
2,Kmeans,-0.095686,1
2,Kmeans,0.535518,0
2,Kmeans,-0.122745,1
2,Kmeans,0.6244,0
2,Kmeans,-0.085004,1
2,Kmeans,-0.158104,1
2,Kmeans,0.491476,0
2,Kmeans,0.595403,0
2,Kmeans,0.627425,0
2,Kmeans,-0.001126,1
2,Kmeans,0.61807,0
2,Kmeans,0.624497,0
2,Kmeans,0.575188,0
2,Kmeans,-0.053193,1
2,Kmeans,0.509809,0
2,Kmeans,-0.148683,1
2,Kmeans,0.586503,0
2,Kmeans,-0.018738,1
2,Kmeans,-0.157322,1
2,Kmeans,-0.086642,1
2,Kmeans,0.624228,0
2,Kmeans,0.551955,0
2,Kmeans,0.623559,0
2,Kmeans,0.470377,0
2,Kmeans,0.619984,0
2,Kmeans,0.390204,0
2,Kmeans,0.064545,1
2,Kmeans,0.54661,0
2,Kmeans,0.624139,0
2,Kmeans,0.545554,0
2,Kmeans,0.609572,0
2,Kmeans,-0.260802,1
2,Kmeans,0.590157,0
2,Kmeans,0.514284,0
2,Kmeans,0.57504,0
2,Kmeans,-0.018854,1
2,Kmeans,0.624526,0
2,Kmeans,0.446077,0
2,Kmeans,0.614923,0
2,Kmeans,0.554721,0
2,Kmeans,0.229223,0
2,Kmeans,0.589602,0
2,Kmeans,0.01713,1
2,Kmeans,0.593329,0
2,Kmeans,-0.369402,1
2,Kmeans,-0.24684,1
2,Kmeans,0.418737,0
2,Kmeans,0.586498,0
2,Kmeans,-0.200241,1
2,Kmeans,0.623946,0
2,Kmeans,0.532025,0
2,Kmeans,0.624228,0
2,Kmeans,0.594752,0
2,Kmeans,-0.187225,1
2,Kmeans,0.624061,0
2,Kmeans,0.449252,0
2,Kmeans,0.430084,0
2,Kmeans,0.543295,0
2,Kmeans,0.56011,0
2,Kmeans,0.229223,0
2,Kmeans,0.608739,0
2,Kmeans,0.304918,0
2,Kmeans,0.338545,0
2,Kmeans,0.42931,0
2,Kmeans,0.377302,0
2,Kmeans,0.553306,0
2,Kmeans,0.395424,0
2,Kmeans,-0.103112,1
2,Kmeans,0.590101,0
2,Kmeans,0.551074,0
2,Kmeans,0.247804,0
2,Kmeans,-0.140939,1
2,Kmeans,0.556803,0
2,Kmeans,0.058353,1
2,Kmeans,-0.125975,1
2,Kmeans,0.439878,0
2,Kmeans,0.569427,0
2,Kmeans,0.315013,0
2,Kmeans,-0.147361,1
2,Kmeans,0.475748,0
2,Kmeans,0.487179,0
2,Kmeans,-0.280842,1
2,Kmeans,-0.032946,1
2,Kmeans,0.41346,0
2,Kmeans,-0.372441,1
2,Kmeans,-0.000684,1
2,Kmeans,0.46453,0
2,Kmeans,-0.045844,1
2,Kmeans,0.556893,0
2,Kmeans,-0.292042,1
2,Kmeans,0.549543,0
2,Kmeans,0.528842,0
2,Kmeans,0.150989,0
2,Kmeans,-0.271057,1
2,Kmeans,-0.125647,1
2,Kmeans,-0.188004,1
2,Kmeans,0.624126,0
2,Kmeans,0.536555,0
2,Kmeans,-0.238691,1
2,Kmeans,0.35002,0
2,Kmeans,-0.066726,1
2,Kmeans,0.289986,0
2,Kmeans,0.313556,0
2,Kmeans,0.471996,0
2,Kmeans,0.604198,0
2,Kmeans,0.100785,0
2,Kmeans,0.486969,0
2,Kmeans,0.500534,0
2,Kmeans,-0.105804,1
2,Kmeans,0.06105,1
2,Kmeans,0.390103,0
2,Kmeans,-0.098521,1
2,Kmeans,0.606237,0
2,Kmeans,0.583291,0
2,Kmeans,0.562526,0
2,Kmeans,-0.147885,1
2,Kmeans,0.580112,0
2,Kmeans,0.519758,0
2,Kmeans,0.308264,0
2,Kmeans,0.624413,0
2,Kmeans,0.326177,0
2,Kmeans,0.449033,0
2,Kmeans,0.312701,0
2,Kmeans,0.533656,0
2,Kmeans,0.473795,0
2,Kmeans,-0.070039,1
2,Kmeans,0.536025,0
2,Kmeans,-0.027338,1
2,Kmeans,0.028605,1
2,Kmeans,0.582057,0
2,Kmeans,-0.135097,1
2,Kmeans,-0.067796,1
2,Kmeans,-0.072423,1
2,Kmeans,-0.011944,1
2,Kmeans,0.602195,0
2,Kmeans,0.490396,0
2,Kmeans,-0.238422,1
2,Kmeans,0.545348,0
2,Kmeans,-0.168112,1
2,Kmeans,0.534941,0
2,Kmeans,0.602322,0
2,Kmeans,0.475527,0
2,Kmeans,0.563973,0
2,Kmeans,0.454521,0
2,Kmeans,-0.133803,1
2,Kmeans,0.506782,0
2,Kmeans,0.434146,0
2,Kmeans,0.504257,0
2,Kmeans,0.40105,0
2,Kmeans,0.484629,0
2,Kmeans,-0.006218,1
2,Kmeans,-0.214995,1
2,Kmeans,0.531175,0
2,Kmeans,0.622766,0
2,Kmeans,-0.183784,1
2,Kmeans,0.28253,0
2,Kmeans,0.395901,0
2,Kmeans,-0.264285,1
2,Kmeans,0.623944,0
