k,GMM,Kmeans
2,0.2499021756030959,0.2867689334725726
3,0.1184347392309794,0.26857647500558457
4,0.10465757470145624,0.2787013559420444
5,0.036442667185030087,0.3100188781385581
6,0.0436028626993665,0.2821245941777806
7,0.0486760027733375,0.2602900723342649
8,0.040331171119385084,0.25769452300407025
9,0.045129245983313214,0.2699910576253388
10,0.05458115585031096,0.28417399544616817
15,0.013182586344131083,0.2853630469225618
20,0.016820582860749948,0.27137720089215955
25,-0.03738525886952807,0.2620787514796706
30,-0.12404919268176035,0.27238557612744213
35,-0.13869298446460787,0.2542052326133451
40,-0.2397333669399122,0.2569831515773164
