k,type,score,label
2,Kmeans,-0.015277,1
2,Kmeans,0.043065,0
2,Kmeans,0.158178,0
2,Kmeans,0.099463,0
2,Kmeans,0.062293,1
2,Kmeans,0.186372,0
2,Kmeans,0.055351,1
2,Kmeans,0.205477,0
2,Kmeans,0.226834,0
2,Kmeans,0.258089,0
2,Kmeans,0.162103,1
2,Kmeans,0.221719,0
2,Kmeans,0.191281,0
2,Kmeans,0.064638,0
2,Kmeans,0.044173,1
2,Kmeans,0.266659,0
2,Kmeans,0.167353,0
2,Kmeans,0.159421,0
2,Kmeans,0.018302,0
2,Kmeans,-0.049283,1
2,Kmeans,0.169115,1
2,Kmeans,0.055351,1
2,Kmeans,0.08538,0
2,Kmeans,0.119937,0
2,Kmeans,0.299551,0
2,Kmeans,0.194243,0
2,Kmeans,0.161732,0
2,Kmeans,0.264616,0
2,Kmeans,0.254538,1
2,Kmeans,0.047802,0
2,Kmeans,0.04767,0
2,Kmeans,0.216618,1
2,Kmeans,0.055351,1
2,Kmeans,0.058565,0
2,Kmeans,0.187431,0
2,Kmeans,0.208051,1
2,Kmeans,0.055351,1
2,Kmeans,0.188565,0
2,Kmeans,0.125289,0
2,Kmeans,0.111662,0
2,Kmeans,0.210845,1
2,Kmeans,0.22914,0
2,Kmeans,0.060135,0
2,Kmeans,0.13795,1
2,Kmeans,0.063563,0
2,Kmeans,0.312523,0
2,Kmeans,0.123517,1
2,Kmeans,0.026106,1
2,Kmeans,0.313676,0
2,Kmeans,0.012558,1
2,Kmeans,0.036078,1
2,Kmeans,0.089032,0
2,Kmeans,0.205342,0
2,Kmeans,0.06287,0
2,Kmeans,0.250322,1
2,Kmeans,0.19767,0
2,Kmeans,0.031918,1
2,Kmeans,0.147643,1
2,Kmeans,0.101155,0
2,Kmeans,0.14494,0
2,Kmeans,0.17516,0
2,Kmeans,0.192271,0
2,Kmeans,0.166037,0
2,Kmeans,0.157264,0
2,Kmeans,0.028802,1
2,Kmeans,0.223543,0
2,Kmeans,0.159355,1
2,Kmeans,0.163513,0
2,Kmeans,0.050583,0
2,Kmeans,0.259378,0
2,Kmeans,0.087834,0
2,Kmeans,0.026798,1
2,Kmeans,0.066451,1
2,Kmeans,0.055351,1
2,Kmeans,0.25372,1
2,Kmeans,0.229991,0
2,Kmeans,0.036432,0
2,Kmeans,0.206292,0
2,Kmeans,0.1713,1
2,Kmeans,0.200808,0
2,Kmeans,0.130333,0
2,Kmeans,0.197969,0
2,Kmeans,0.056663,0
2,Kmeans,0.292105,0
2,Kmeans,0.213328,0
2,Kmeans,0.250559,0
2,Kmeans,0.120212,0
2,Kmeans,0.054149,1
2,Kmeans,0.19811,0
2,Kmeans,0.103026,0
2,Kmeans,0.274751,0
2,Kmeans,0.11192,0
2,Kmeans,0.247932,1
2,Kmeans,0.183699,1
2,Kmeans,0.22295,0
2,Kmeans,0.019304,1
2,Kmeans,0.092967,1
2,Kmeans,0.185591,0
2,Kmeans,0.045963,1
2,Kmeans,0.102057,0
2,Kmeans,0.055351,1
