k,GMM,Kmeans
2,0.8473275754391677,0.15104992125474506
3,-0.011245896801233668,0.17978382290164346
4,-0.044936252449372674,0.2613124115401448
5,-0.025421870508100925,0.2547606162526196
6,-0.04103680279734976,0.2599805155715618
7,-0.04412399006160324,0.25084871017994576
8,-0.0318961422793051,0.25496516431429345
9,-0.09134481844924154,0.22137075913795903
10,-0.0557359761817366,0.18313876175299898
15,-0.03528344214238699,0.16371169663449497
20,-0.09481417325593264,0.1830422388936769
25,-0.0470446477017525,0.20603582556883895
30,-0.1391444907494891,0.20918875385475658
35,-0.09202329486571363,0.19999788048667239
40,-0.1526755902388916,0.19588856069808955
