k,GMM,Kmeans
2,0.6681455190771961,0.6317657497781721
3,0.7732919254658385,0.7058562555456965
4,0.7821650399290151,0.7080745341614907
5,0.8061224489795918,0.632209405501331
6,0.8260869565217391,0.6934338952972493
7,0.826530612244898,0.7360248447204969
8,0.7968056787932565,0.7009760425909495
9,0.8176574977817214,0.7262644188110027
10,0.8172138420585625,0.6907719609582964
15,0.8376220053238687,0.7657497781721384
20,0.834072759538598,0.7546583850931677
25,0.842058562555457,0.7209405501330968
30,0.8460514640638864,0.7582076308784383
35,0.8052351375332741,0.7493345164152617
40,0.8194321206743567,0.7333629103815439
