k,type,score,label
2,Kmeans,0.253355,1
2,Kmeans,0.170597,1
2,Kmeans,0.128174,1
2,Kmeans,0.145281,1
2,Kmeans,0.247301,1
2,Kmeans,0.28937,1
2,Kmeans,0.20054,1
2,Kmeans,0.235876,1
2,Kmeans,0.315552,1
2,Kmeans,0.239899,1
2,Kmeans,0.086184,1
2,Kmeans,0.2923,1
2,Kmeans,0.209185,1
2,Kmeans,0.254287,1
2,Kmeans,0.21222,1
2,Kmeans,0.197842,1
2,Kmeans,0.173544,1
2,Kmeans,0.258186,1
2,Kmeans,0.021054,1
2,Kmeans,0.309825,1
2,Kmeans,0.171302,1
2,Kmeans,0.20054,1
2,Kmeans,0.115687,1
2,Kmeans,0.215711,1
2,Kmeans,0.202327,1
2,Kmeans,0.243597,1
2,Kmeans,0.221501,1
2,Kmeans,0.283093,1
2,Kmeans,0.228322,1
2,Kmeans,0.186232,1
2,Kmeans,0.267533,1
2,Kmeans,0.15132,1
2,Kmeans,0.20054,1
2,Kmeans,0.226138,1
2,Kmeans,0.184488,1
2,Kmeans,0.198675,1
2,Kmeans,0.20054,1
2,Kmeans,0.16284,1
2,Kmeans,0.103457,1
2,Kmeans,0.08121,1
2,Kmeans,0.213715,1
2,Kmeans,0.204346,1
2,Kmeans,0.231973,1
2,Kmeans,0.149983,1
2,Kmeans,0.029129,1
2,Kmeans,0.271284,1
2,Kmeans,0.206237,1
2,Kmeans,0.142943,0
2,Kmeans,0.29732,1
2,Kmeans,0.018719,1
2,Kmeans,0.30359,1
2,Kmeans,0.245312,1
2,Kmeans,0.141751,1
2,Kmeans,0.211949,1
2,Kmeans,0.181227,1
2,Kmeans,0.317308,1
2,Kmeans,0.162557,1
2,Kmeans,0.1454,1
2,Kmeans,0.137001,1
2,Kmeans,0.103908,1
2,Kmeans,0.216042,1
2,Kmeans,0.205831,1
2,Kmeans,0.21086,1
2,Kmeans,0.296696,1
2,Kmeans,0.167947,1
2,Kmeans,0.197468,1
2,Kmeans,0.218743,1
2,Kmeans,0.31775,1
2,Kmeans,0.042009,1
2,Kmeans,0.251785,1
2,Kmeans,0.288291,1
2,Kmeans,0.248968,1
2,Kmeans,0.141294,1
2,Kmeans,0.20054,1
2,Kmeans,0.18666,1
2,Kmeans,0.280638,1
2,Kmeans,0.045117,1
2,Kmeans,0.250518,1
2,Kmeans,0.254247,1
2,Kmeans,0.317501,1
2,Kmeans,0.072304,1
2,Kmeans,0.186706,1
2,Kmeans,0.073273,1
2,Kmeans,0.283963,1
2,Kmeans,0.264893,1
2,Kmeans,0.221335,1
2,Kmeans,0.186789,1
2,Kmeans,0.215862,1
2,Kmeans,0.154979,1
2,Kmeans,0.137145,1
2,Kmeans,0.313816,1
2,Kmeans,0.285657,1
2,Kmeans,0.090734,1
2,Kmeans,0.203159,1
2,Kmeans,0.289656,1
2,Kmeans,0.16824,1
2,Kmeans,0.262734,1
2,Kmeans,0.180506,1
2,Kmeans,0.195936,1
2,Kmeans,0.211815,1
2,Kmeans,0.20054,1
2,Kmeans,0.142587,1
2,Kmeans,0.300795,1
2,Kmeans,0.137982,1
2,Kmeans,0.267543,1
2,Kmeans,0.20054,1
2,Kmeans,0.159709,1
2,Kmeans,0.064513,1
2,Kmeans,0.171299,1
2,Kmeans,0.162553,1
2,Kmeans,0.169746,1
2,Kmeans,0.087945,1
2,Kmeans,0.173195,1
2,Kmeans,0.31444,1
2,Kmeans,0.105359,1
2,Kmeans,0.239884,1
2,Kmeans,0.179291,1
2,Kmeans,0.121613,0
2,Kmeans,0.287299,1
2,Kmeans,0.243085,1
2,Kmeans,0.229683,1
2,Kmeans,0.270966,1
2,Kmeans,0.18171,1
2,Kmeans,0.201469,1
2,Kmeans,0.243137,1
2,Kmeans,0.119788,1
2,Kmeans,0.21288,1
2,Kmeans,0.273354,1
2,Kmeans,0.191407,1
2,Kmeans,0.151076,0
2,Kmeans,0.273318,1
2,Kmeans,0.264526,1
2,Kmeans,0.271556,1
2,Kmeans,0.236791,1
2,Kmeans,0.317422,1
2,Kmeans,0.317296,1
2,Kmeans,0.228799,1
2,Kmeans,0.232131,1
2,Kmeans,0.309183,1
2,Kmeans,0.255558,1
2,Kmeans,0.286252,1
2,Kmeans,0.09408,1
2,Kmeans,0.159097,1
2,Kmeans,0.12209,1
2,Kmeans,0.20054,1
2,Kmeans,0.225912,1
2,Kmeans,0.210024,1
2,Kmeans,0.052863,1
2,Kmeans,0.269945,1
2,Kmeans,0.218437,1
2,Kmeans,0.21495,1
2,Kmeans,0.128744,1
2,Kmeans,0.19415,1
2,Kmeans,0.182176,1
2,Kmeans,0.217266,1
2,Kmeans,0.3179,1
2,Kmeans,0.236099,1
2,Kmeans,0.250536,1
2,Kmeans,0.107682,1
2,Kmeans,0.310339,1
2,Kmeans,0.212533,1
2,Kmeans,0.087501,1
2,Kmeans,0.251166,1
2,Kmeans,0.309978,1
2,Kmeans,0.082189,1
2,Kmeans,0.039761,0
2,Kmeans,0.316788,1
2,Kmeans,0.230534,1
2,Kmeans,0.198693,1
2,Kmeans,0.059101,1
2,Kmeans,0.228737,1
2,Kmeans,0.114984,1
2,Kmeans,0.317385,1
2,Kmeans,0.305712,1
2,Kmeans,0.317328,1
2,Kmeans,0.279759,1
2,Kmeans,0.087386,1
2,Kmeans,0.254624,1
2,Kmeans,0.13386,1
2,Kmeans,0.163805,1
2,Kmeans,0.317355,1
2,Kmeans,0.272673,1
2,Kmeans,0.271668,1
2,Kmeans,0.186349,1
2,Kmeans,0.32094,1
2,Kmeans,0.247135,1
2,Kmeans,0.168839,1
2,Kmeans,0.16083,1
2,Kmeans,0.086926,1
2,Kmeans,0.260567,1
2,Kmeans,0.216785,1
2,Kmeans,0.316688,1
2,Kmeans,0.20054,1
2,Kmeans,0.301175,1
2,Kmeans,0.105884,1
2,Kmeans,0.25146,1
2,Kmeans,0.256501,1
2,Kmeans,0.171056,1
2,Kmeans,0.297146,1
2,Kmeans,0.30925,1
2,Kmeans,0.234675,1
2,Kmeans,0.092567,1
2,Kmeans,0.263369,1
2,Kmeans,0.317385,1
2,Kmeans,0.265507,1
2,Kmeans,0.239586,0
2,Kmeans,0.255526,1
2,Kmeans,0.239485,1
2,Kmeans,0.193301,1
2,Kmeans,0.040169,1
2,Kmeans,0.320828,1
2,Kmeans,0.20054,1
2,Kmeans,0.265807,1
2,Kmeans,0.174514,1
2,Kmeans,0.083736,1
2,Kmeans,0.29579,1
2,Kmeans,0.270174,1
2,Kmeans,0.242738,1
2,Kmeans,0.213447,1
2,Kmeans,0.2125,1
2,Kmeans,0.052189,1
2,Kmeans,0.277765,1
2,Kmeans,0.063162,1
2,Kmeans,0.238852,0
2,Kmeans,0.160055,1
2,Kmeans,0.125972,1
2,Kmeans,0.180694,1
2,Kmeans,0.280504,1
2,Kmeans,0.212544,1
2,Kmeans,0.086949,1
2,Kmeans,0.194372,1
2,Kmeans,0.08347,1
2,Kmeans,0.270975,1
2,Kmeans,0.203474,1
2,Kmeans,0.215628,1
2,Kmeans,0.297038,1
2,Kmeans,0.253722,1
2,Kmeans,0.180655,1
2,Kmeans,0.178837,1
2,Kmeans,0.230559,1
2,Kmeans,0.258322,1
2,Kmeans,0.256803,1
2,Kmeans,0.148913,1
2,Kmeans,0.263491,1
2,Kmeans,0.188785,1
2,Kmeans,0.210913,1
2,Kmeans,0.157188,1
2,Kmeans,0.227,1
2,Kmeans,0.317438,1
2,Kmeans,0.115246,1
2,Kmeans,0.1892,1
2,Kmeans,0.14973,1
2,Kmeans,0.184551,1
2,Kmeans,0.213355,1
2,Kmeans,0.248466,1
2,Kmeans,0.263591,1
2,Kmeans,0.298316,1
2,Kmeans,0.051484,1
2,Kmeans,0.192359,1
2,Kmeans,0.271013,1
2,Kmeans,0.256177,1
2,Kmeans,0.017151,1
2,Kmeans,0.147231,1
2,Kmeans,0.234856,1
2,Kmeans,0.315205,1
2,Kmeans,0.317711,1
2,Kmeans,0.280638,1
2,Kmeans,0.277532,1
2,Kmeans,0.29021,1
2,Kmeans,0.177301,1
2,Kmeans,0.24723,1
2,Kmeans,0.117376,1
2,Kmeans,0.2453,1
2,Kmeans,0.30109,1
2,Kmeans,0.189187,1
2,Kmeans,0.219172,1
2,Kmeans,0.219106,1
2,Kmeans,0.137001,1
2,Kmeans,0.185584,1
2,Kmeans,0.19085,1
2,Kmeans,0.167036,1
2,Kmeans,0.153016,1
2,Kmeans,0.219385,1
2,Kmeans,0.045119,0
2,Kmeans,0.195373,1
2,Kmeans,0.166839,1
2,Kmeans,0.186854,1
2,Kmeans,0.228117,1
2,Kmeans,0.156572,0
2,Kmeans,0.248859,1
2,Kmeans,0.232778,1
2,Kmeans,0.318671,1
2,Kmeans,0.200762,1
2,Kmeans,0.303755,1
2,Kmeans,0.144674,1
2,Kmeans,0.232148,1
2,Kmeans,0.200356,1
2,Kmeans,0.052861,0
2,Kmeans,0.272452,1
2,Kmeans,0.159101,1
2,Kmeans,0.241195,1
2,Kmeans,0.279945,1
2,Kmeans,0.036534,1
2,Kmeans,0.173151,1
2,Kmeans,0.163124,1
2,Kmeans,0.209571,1
2,Kmeans,0.112316,0
2,Kmeans,0.083308,1
2,Kmeans,0.087004,1
2,Kmeans,0.19124,1
2,Kmeans,0.143585,1
2,Kmeans,0.150922,1
2,Kmeans,0.131878,1
2,Kmeans,0.124359,1
2,Kmeans,0.113575,1
2,Kmeans,0.280528,1
2,Kmeans,0.013849,1
2,Kmeans,0.140479,1
2,Kmeans,0.154092,1
2,Kmeans,0.155827,1
2,Kmeans,0.30051,1
2,Kmeans,0.195305,1
2,Kmeans,0.217773,1
2,Kmeans,0.197631,1
2,Kmeans,0.089058,1
2,Kmeans,0.046011,1
2,Kmeans,0.199283,1
2,Kmeans,0.289402,1
2,Kmeans,0.285885,1
2,Kmeans,0.161735,1
2,Kmeans,0.226628,1
2,Kmeans,0.317318,1
2,Kmeans,0.033637,1
2,Kmeans,0.115848,1
2,Kmeans,0.27351,1
2,Kmeans,0.114494,1
2,Kmeans,0.195837,1
2,Kmeans,0.308578,1
2,Kmeans,0.243059,1
2,Kmeans,0.140875,1
2,Kmeans,0.291711,1
2,Kmeans,0.150241,1
2,Kmeans,0.184551,1
2,Kmeans,0.258423,1
2,Kmeans,0.214298,1
2,Kmeans,0.111071,1
2,Kmeans,0.201469,1
2,Kmeans,0.281199,1
2,Kmeans,0.146676,1
2,Kmeans,0.139753,1
2,Kmeans,0.05428,0
2,Kmeans,0.274511,1
2,Kmeans,0.200558,1
2,Kmeans,0.066278,1
2,Kmeans,0.236821,1
2,Kmeans,0.315025,1
2,Kmeans,0.023411,1
2,Kmeans,0.189738,1
2,Kmeans,0.29034,1
2,Kmeans,0.163621,1
2,Kmeans,0.275337,1
2,Kmeans,0.317264,1
2,Kmeans,0.2278,1
2,Kmeans,0.258641,1
2,Kmeans,0.074918,0
2,Kmeans,0.088356,1
2,Kmeans,0.124682,1
2,Kmeans,0.25454,1
2,Kmeans,0.199078,1
2,Kmeans,0.261877,1
2,Kmeans,0.317331,1
2,Kmeans,0.241865,1
2,Kmeans,0.154819,1
2,Kmeans,0.146248,1
2,Kmeans,0.298618,1
2,Kmeans,0.19444,1
2,Kmeans,0.022572,1
2,Kmeans,0.279306,1
2,Kmeans,0.20054,1
2,Kmeans,0.187058,1
2,Kmeans,0.22087,1
2,Kmeans,0.245439,1
2,Kmeans,0.224975,1
2,Kmeans,0.302842,1
2,Kmeans,-0.012014,0
2,Kmeans,0.273341,1
2,Kmeans,0.20054,1
2,Kmeans,0.297988,1
2,Kmeans,0.247141,1
2,Kmeans,0.243239,1
2,Kmeans,0.27831,1
2,Kmeans,0.302772,1
