k,GMM,Kmeans
2,0.045484644600757414,0.20610787675707387
3,-0.019447784603728785,0.07857868404606229
4,-0.03544041312288298,0.14675300361124252
5,-0.04257957799947354,0.15459182644928943
6,-0.04651909200793941,0.14446974933865334
7,-0.05003817326749681,0.060339517968327656
8,-0.045666497992437445,0.10706858134088722
9,-0.036437342054277136,0.060145419572057386
10,-0.030535106003527376,0.09033975563803827
15,-0.1605398220988327,0.09535119530702044
20,-0.13284740367830855,0.11798793851077001
25,-0.10715610304777869,0.0923960957435463
30,-0.08960028365456865,0.12695732904465268
35,-0.06450012309609655,0.12848586843135623
40,-0.04465684122156123,0.10726400712917855
