k,GMM,Kmeans
2,0.778843537414966,0.778843537414966
3,0.778843537414966,0.778843537414966
4,0.778843537414966,0.8017687074829932
5,0.778843537414966,0.800952380952381
6,0.7863265306122449,0.8005442176870748
7,0.778843537414966,0.8008163265306123
8,0.7814285714285715,0.8012244897959183
9,0.7817687074829932,0.8012244897959183
10,0.7838775510204081,0.8004761904761905
15,0.7869387755102041,0.8038095238095239
20,0.7941496598639456,0.803265306122449
25,0.7968707482993197,0.8024489795918367
30,0.7971428571428572,0.803265306122449
35,0.7991156462585034,0.8042176870748299
40,0.7997278911564626,0.8042857142857143
