k,GMM,Kmeans
2,0.37545290850327434,0.4800167513601744
3,0.20659705301098646,0.3892068836468796
4,0.1679915028435998,0.38327147091269664
5,0.07480940511234423,0.3897977913061178
6,0.2826060190220037,0.4032379311495798
7,0.15021463346843036,0.3742680440640571
8,0.19669961218765517,0.34046215309909234
9,0.18291760549938516,0.34826282092539423
10,0.2559452518033633,0.35003136716875544
15,0.09890577451217018,0.3104832351749778
20,0.12597558253310862,0.2921347729639716
25,0.15536274878098663,0.28049745658031966
30,0.13197787047439707,0.2773440112762858
35,0.11467201718576246,0.27171285678975243
40,0.05898259748346384,0.2703171091204034
