k,type,score,label
2,Kmeans,0.905003,0
2,Kmeans,0.881831,0
2,Kmeans,0.857193,0
2,Kmeans,0.875899,0
2,Kmeans,0.885664,0
2,Kmeans,0.901453,0
2,Kmeans,0.881233,0
2,Kmeans,0.900689,0
2,Kmeans,0.9049,0
2,Kmeans,0.866278,0
2,Kmeans,0.875752,0
2,Kmeans,0.906357,0
2,Kmeans,0.890017,0
2,Kmeans,0.824742,0
2,Kmeans,0.898356,0
2,Kmeans,0.880133,0
2,Kmeans,0.843003,0
2,Kmeans,0.890761,0
2,Kmeans,0.614829,0
2,Kmeans,0.909141,0
2,Kmeans,0.834197,0
2,Kmeans,0.881233,0
2,Kmeans,0.648238,1
2,Kmeans,0.886768,0
2,Kmeans,0.906544,0
2,Kmeans,0.878967,0
2,Kmeans,0.675616,0
2,Kmeans,0.89347,0
2,Kmeans,0.868247,0
2,Kmeans,0.87943,0
2,Kmeans,0.894481,0
2,Kmeans,0.828169,0
2,Kmeans,0.881233,0
2,Kmeans,0.905724,0
2,Kmeans,0.880184,0
2,Kmeans,0.868898,0
2,Kmeans,0.881233,0
2,Kmeans,0.853834,0
2,Kmeans,0.549839,1
2,Kmeans,0.828586,0
2,Kmeans,0.78815,0
2,Kmeans,0.882367,0
2,Kmeans,0.906127,0
2,Kmeans,0.846193,0
2,Kmeans,0.872799,0
2,Kmeans,0.906558,0
2,Kmeans,0.880096,0
2,Kmeans,0.846941,0
2,Kmeans,0.893622,0
2,Kmeans,0.665411,0
2,Kmeans,0.902482,0
2,Kmeans,0.907763,0
2,Kmeans,0.882058,0
2,Kmeans,0.886103,0
2,Kmeans,0.838581,0
2,Kmeans,0.899141,0
2,Kmeans,0.894361,0
2,Kmeans,0.898947,0
2,Kmeans,0.802069,0
2,Kmeans,0.814333,0
2,Kmeans,0.648922,0
2,Kmeans,0.84959,0
2,Kmeans,0.550352,0
2,Kmeans,0.906072,0
2,Kmeans,0.671487,0
2,Kmeans,0.862705,0
2,Kmeans,0.89753,0
2,Kmeans,0.90624,0
2,Kmeans,0.759043,0
2,Kmeans,0.891442,0
2,Kmeans,0.896732,0
2,Kmeans,0.907847,0
2,Kmeans,0.879922,0
2,Kmeans,0.881233,0
2,Kmeans,0.86568,0
2,Kmeans,0.893266,0
2,Kmeans,0.729558,0
2,Kmeans,0.894412,0
2,Kmeans,0.904969,0
2,Kmeans,0.899381,0
2,Kmeans,0.752504,0
2,Kmeans,0.877297,0
2,Kmeans,0.866529,0
2,Kmeans,0.897232,0
2,Kmeans,0.881025,0
2,Kmeans,0.894877,0
2,Kmeans,0.743036,0
2,Kmeans,0.8831,0
2,Kmeans,0.869781,0
2,Kmeans,0.906169,0
2,Kmeans,0.899325,0
2,Kmeans,0.907783,0
2,Kmeans,0.7808,0
2,Kmeans,0.895981,0
2,Kmeans,0.895355,0
2,Kmeans,0.893493,0
2,Kmeans,0.90643,0
2,Kmeans,0.865758,0
2,Kmeans,0.833646,0
2,Kmeans,0.898647,0
2,Kmeans,0.881233,0
2,Kmeans,0.866084,0
2,Kmeans,0.87958,0
2,Kmeans,0.729685,0
2,Kmeans,0.901514,0
2,Kmeans,0.881233,0
2,Kmeans,0.851027,0
2,Kmeans,0.828761,0
2,Kmeans,0.871395,0
2,Kmeans,0.810539,0
2,Kmeans,0.908183,0
2,Kmeans,0.787828,0
2,Kmeans,0.87745,0
2,Kmeans,0.899451,0
2,Kmeans,0.837428,0
2,Kmeans,0.902646,0
2,Kmeans,0.875939,0
2,Kmeans,0.829483,0
2,Kmeans,0.902207,0
2,Kmeans,0.891488,0
2,Kmeans,0.900915,0
2,Kmeans,0.890736,0
2,Kmeans,0.894525,0
2,Kmeans,0.882717,0
2,Kmeans,0.894749,0
2,Kmeans,0.744211,0
2,Kmeans,0.855476,0
2,Kmeans,0.89982,0
2,Kmeans,0.9033,0
2,Kmeans,0.839998,0
2,Kmeans,0.904213,0
2,Kmeans,0.877316,0
2,Kmeans,0.904797,0
2,Kmeans,0.900075,0
2,Kmeans,0.899333,0
2,Kmeans,0.899135,0
2,Kmeans,0.877385,0
2,Kmeans,0.859944,0
2,Kmeans,0.900165,0
2,Kmeans,0.903269,0
2,Kmeans,0.908313,0
2,Kmeans,0.810739,0
2,Kmeans,0.897234,0
2,Kmeans,0.849842,0
2,Kmeans,0.881233,0
2,Kmeans,0.884584,0
2,Kmeans,0.727391,0
2,Kmeans,0.735132,0
2,Kmeans,0.899353,0
2,Kmeans,0.89897,0
2,Kmeans,0.907194,0
2,Kmeans,0.881811,0
2,Kmeans,0.879395,0
2,Kmeans,0.889419,0
2,Kmeans,0.899733,0
2,Kmeans,0.899249,0
2,Kmeans,0.882487,0
2,Kmeans,0.892324,0
2,Kmeans,0.823553,0
2,Kmeans,0.908932,0
2,Kmeans,0.887077,0
2,Kmeans,0.890337,0
2,Kmeans,0.896259,0
2,Kmeans,0.898108,0
2,Kmeans,0.782782,0
2,Kmeans,0.819656,0
2,Kmeans,0.909205,0
2,Kmeans,0.878873,0
2,Kmeans,0.743072,0
