k,GMM,Kmeans
2,0.12485609156017458,0.11627684557707312
3,0.06035798593915861,0.06035798593915861
4,0.05170673004640603,0.06622551491981021
5,0.05780553204321628,0.05780553204321628
6,0.05605085303479967,0.05709354840521846
7,0.055933504139340985,0.055933504139341
8,0.05583407328176759,0.05569107935827204
9,0.05561241277243041,0.05561241277243041
10,0.055569601130811476,0.05564344025619124
15,0.055599484805649094,0.055599484805649094
20,0.055599484805649094,0.055599484805649094
25,0.055599484805649094,0.055599484805649094
30,0.055599484805649094,0.055599484805649094
35,0.055599484805649094,0.055599484805649094
40,0.055599484805649094,0.055599484805649094
