k,GMM,Kmeans
2,0.32022148833152675,0.31592252549325595
3,0.2542404707787477,0.3228858948906615
4,0.2933628684219681,0.23988843621246259
5,0.2154815666887998,0.2833761949931723
6,0.219594344659812,0.23655173682770922
7,0.21089106964372967,0.17797927861845
8,0.2304312009524896,0.1663419709114556
9,0.23274225689511557,0.1464917427086129
10,0.23535985047674782,0.14130639846074075
15,0.17097874170141397,0.14981927364940406
20,0.15934556547158532,0.11165211250724871
25,0.15382625494415472,0.09984177892286786
30,0.1484182329691941,0.10616351187817813
35,0.13425847595595303,0.09372806490203762
40,0.1414189123255757,0.1023529451802361
