k,GMM,Kmeans
2,0.3372218900450763,0.2660144974881583
3,0.04837191096074656,0.24549234519182125
4,0.028901918397423385,0.22281178463614443
5,-0.013070538226477055,0.1716867809273
6,0.024589647935409572,0.16888803471246888
7,-0.043666281881971206,0.16190952587733665
8,-0.018102581239364028,0.1670787107697725
9,-0.034832908903114,0.16005219577503582
10,-0.03719471518654777,0.16905962096167843
15,-0.046081108984647526,0.1575366298985965
20,-0.0968041233911374,0.1704654678971083
25,-0.08840275953348409,0.1718333112356458
30,-0.08939771268867829,0.17156226798122243
35,-0.0985650540921211,0.15210470586410182
40,-0.11076995789628562,0.15665629695974853
