k,GMM,Kmeans
2,0.6060337178349601,0.673469387755102
3,0.7249334516415262,0.6929902395740906
4,0.6889973380656611,0.6623779946761313
5,0.6889973380656611,0.6672582076308784
6,0.7085181898846495,0.6690328305235137
7,0.7440106477373558,0.6663708961845608
8,0.7360248447204969,0.6774622892635315
9,0.7222715173025732,0.6947648624667259
10,0.725377107364685,0.6481810115350488
15,0.7697426796805679,0.7000887311446318
20,0.7506654835847383,0.6952085181898846
25,0.7741792369121562,0.6974267968056788
30,0.7604259094942325,0.7067435669920142
35,0.7812777284826974,0.7120674356699201
40,0.7586512866015972,0.7320319432120674
