k,GMM,Kmeans
2,-0.0003881123822500426,0.07413988227529547
3,0.0907737534389603,0.08468983833126317
4,0.059919822037375774,0.06135306862406667
5,0.06132262210733369,0.06186298755698909
6,0.06325086760650118,0.05117835817491533
7,0.07318757773267838,0.04159707828069709
8,0.08791861699752562,0.06162250047912881
9,0.06234655955755904,0.05905092300065395
10,0.062369868202441094,0.025797024261729622
15,0.0770336391149144,0.056797728445587864
20,0.06610197394530679,0.042942536773945876
25,0.07205849929914084,0.04446631626008191
30,0.0682538442174566,0.045543186589612566
35,0.06745422998942315,0.04253910435837715
40,0.0694732680946313,0.04511079425151252
