k,GMM,Kmeans
2,0.778843537414966,0.778843537414966
3,0.778843537414966,0.778843537414966
4,0.778843537414966,0.778843537414966
5,0.778843537414966,0.778843537414966
6,0.778843537414966,0.778843537414966
7,0.778843537414966,0.778843537414966
8,0.778843537414966,0.7856462585034013
9,0.778843537414966,0.7854421768707484
10,0.778843537414966,0.7877551020408163
15,0.7815646258503401,0.7869387755102041
20,0.7825170068027211,0.7855102040816326
25,0.7846938775510204,0.7851020408163265
30,0.7821768707482993,0.7862585034013605
35,0.7852380952380953,0.7852380952380953
40,0.7846258503401361,0.7871428571428571
