k,GMM,Kmeans
2,0.00664031501960809,0.0019923926045761512
3,0.012604003843814852,0.006964172540440319
4,0.01526298765235743,0.007042301328831777
5,0.02353306093164794,0.008755709874374846
6,0.012842805117983023,0.006814882143729282
7,0.014068605354317565,0.01536138351746487
8,0.01799942962777902,0.015534356834816793
9,0.014533394344350773,0.013693945463523208
10,0.010857601719082474,0.012300050610399321
15,0.00889350489392852,0.009577031524809014
20,0.0122062497306036,0.011010346882469442
25,0.01115203638805903,0.010107007004202298
30,0.010887225771099714,0.009541867022324294
35,0.011835848621582164,0.009993312528253105
40,0.012066865406270808,0.010326211010130764
