k,GMM,Kmeans
2,0.34920668682991446,0.3219588073990551
3,0.13933486280392315,0.21991379303876493
4,0.060690309018319885,0.23169413952992968
5,0.03055277498245617,0.17672525148363386
6,0.026854783970624144,0.1652571489702883
7,0.016575501618396604,0.1735294985483099
8,0.02958166839323765,0.1715310711257229
9,0.018630547821173273,0.1642732828575576
10,-0.03769035189786417,0.15940397057726613
15,-0.05216238971830447,0.15391227641966312
20,-0.05807370720845353,0.15870380574572884
25,-0.06657265782338721,0.1618529061378996
30,-0.08595636888510952,0.161265157602603
35,-0.09475814303940866,0.15823788418008267
40,-0.10221825134699969,0.16325071743376388
