k,GMM,Kmeans
2,0.6060337178349601,0.6060337178349601
3,0.6339840283939663,0.6060337178349601
4,0.6060337178349601,0.6060337178349601
5,0.6060337178349601,0.6060337178349601
6,0.6526175687666371,0.6206743566992015
7,0.6153504880212954,0.6153504880212954
8,0.6490683229813664,0.6220053238686779
9,0.6535048802129547,0.6339840283939663
10,0.6570541259982253,0.6259982253771074
15,0.6845607808340728,0.639751552795031
20,0.660603371783496,0.6801242236024845
25,0.6921029281277729,0.6748003549245786
30,0.6898846495119787,0.6739130434782609
35,0.7045252883762201,0.6854480922803904
40,0.7009760425909495,0.6739130434782609
