k,GMM,Kmeans
2,0.020154822331506884,0.020008612317393055
3,0.04486697456478728,0.02609783720273569
4,0.03489390580188226,0.017575777706676586
5,0.018954141686088933,0.018463383063917014
6,0.03174269048115748,0.028443485384240706
7,0.022583471696168145,0.03342837504508395
8,0.026896784671073006,0.034603338119866975
9,0.030304961938952022,0.03166706865938699
10,0.03283712961863396,0.027761145758596534
15,0.045324082501435894,0.027490755007679113
20,0.030446681197996837,0.032963645533235
25,0.031251551643034156,0.03810676534950989
30,0.033384561717315915,0.028656366005467775
35,0.04138593734939813,0.03860021379571197
40,0.03601577435542178,0.031072464810266147
