k,type,score,label
2,Kmeans,0.671628,1
2,Kmeans,0.716698,1
2,Kmeans,-0.348626,0
2,Kmeans,0.622628,1
2,Kmeans,0.650781,1
2,Kmeans,0.668487,1
2,Kmeans,0.623389,1
2,Kmeans,0.663491,1
2,Kmeans,0.708673,1
2,Kmeans,0.66215,1
2,Kmeans,0.449504,1
2,Kmeans,0.698999,1
2,Kmeans,0.335205,1
2,Kmeans,0.64127,1
2,Kmeans,0.49179,1
2,Kmeans,0.446195,1
2,Kmeans,0.697334,1
2,Kmeans,0.689017,1
2,Kmeans,0.716884,1
2,Kmeans,0.687798,1
2,Kmeans,0.679138,1
2,Kmeans,0.716461,1
2,Kmeans,0.69666,1
2,Kmeans,0.549296,1
2,Kmeans,0.459944,1
2,Kmeans,0.636272,1
2,Kmeans,0.610565,1
2,Kmeans,0.617677,1
2,Kmeans,0.713406,1
2,Kmeans,0.658174,1
2,Kmeans,0.618606,1
2,Kmeans,0.62836,1
2,Kmeans,0.721145,1
2,Kmeans,0.623161,1
2,Kmeans,0.72638,1
2,Kmeans,0.72317,1
2,Kmeans,0.699657,1
2,Kmeans,0.576082,1
2,Kmeans,0.688617,1
2,Kmeans,0.677633,1
2,Kmeans,0.725628,1
2,Kmeans,0.705703,1
2,Kmeans,0.556666,1
2,Kmeans,0.592934,1
2,Kmeans,0.702201,1
2,Kmeans,0.719875,1
2,Kmeans,0.702016,1
2,Kmeans,0.690303,1
2,Kmeans,0.573769,1
2,Kmeans,0.621896,1
2,Kmeans,0.621997,1
2,Kmeans,0.710189,1
2,Kmeans,0.64948,1
2,Kmeans,0.630648,1
2,Kmeans,0.650279,1
2,Kmeans,0.700718,1
2,Kmeans,0.730316,1
2,Kmeans,0.551521,1
2,Kmeans,0.736885,1
2,Kmeans,0.271474,1
2,Kmeans,0.427052,1
2,Kmeans,0.714538,1
2,Kmeans,0.551535,1
2,Kmeans,0.698021,1
2,Kmeans,0.469363,1
2,Kmeans,0.720791,1
2,Kmeans,0.206489,1
2,Kmeans,0.489694,1
2,Kmeans,0.668154,1
2,Kmeans,0.722989,1
2,Kmeans,0.591985,1
2,Kmeans,0.697732,1
2,Kmeans,0.527847,1
2,Kmeans,0.655798,1
2,Kmeans,0.685944,1
2,Kmeans,0.687079,1
2,Kmeans,0.68154,1
2,Kmeans,0.691537,1
2,Kmeans,0.698952,1
2,Kmeans,0.428703,1
2,Kmeans,0.695226,1
2,Kmeans,0.486538,1
2,Kmeans,-0.03156,0
2,Kmeans,0.718185,1
2,Kmeans,0.6294,1
2,Kmeans,0.590046,1
2,Kmeans,0.635642,1
2,Kmeans,0.693122,1
2,Kmeans,0.599315,1
2,Kmeans,0.242713,1
2,Kmeans,0.697818,1
2,Kmeans,-0.075725,0
2,Kmeans,-0.122878,0
2,Kmeans,0.71834,1
2,Kmeans,0.702075,1
2,Kmeans,0.659869,1
2,Kmeans,0.691847,1
2,Kmeans,0.526636,1
2,Kmeans,0.64074,1
2,Kmeans,0.712765,1
2,Kmeans,0.553706,1
2,Kmeans,0.672371,1
2,Kmeans,0.715151,1
2,Kmeans,0.708198,1
2,Kmeans,0.617457,1
2,Kmeans,0.595946,1
2,Kmeans,0.613025,1
2,Kmeans,0.665508,1
2,Kmeans,0.445192,1
2,Kmeans,0.62091,1
2,Kmeans,0.639244,1
2,Kmeans,0.64863,1
2,Kmeans,0.719433,1
2,Kmeans,0.697958,1
2,Kmeans,0.723552,1
2,Kmeans,0.717907,1
2,Kmeans,0.497008,1
2,Kmeans,0.647845,1
2,Kmeans,0.721479,1
2,Kmeans,-0.163983,0
2,Kmeans,0.638407,1
2,Kmeans,0.713832,1
2,Kmeans,0.648928,1
2,Kmeans,0.700661,1
2,Kmeans,0.711631,1
2,Kmeans,0.62139,1
2,Kmeans,0.701201,1
2,Kmeans,0.294267,1
2,Kmeans,0.664075,1
2,Kmeans,0.562317,1
2,Kmeans,0.687352,1
2,Kmeans,0.705409,1
2,Kmeans,-0.02795,0
2,Kmeans,0.579997,1
2,Kmeans,0.692025,1
2,Kmeans,-0.225855,0
2,Kmeans,0.728661,1
2,Kmeans,0.449658,1
2,Kmeans,0.504342,1
2,Kmeans,0.692233,1
2,Kmeans,0.629932,1
2,Kmeans,0.71835,1
2,Kmeans,0.681402,1
2,Kmeans,0.664617,1
2,Kmeans,0.445454,1
2,Kmeans,0.661352,1
2,Kmeans,0.316206,1
2,Kmeans,0.713386,1
2,Kmeans,0.680308,1
2,Kmeans,0.324537,1
2,Kmeans,0.676727,1
2,Kmeans,0.555112,1
2,Kmeans,0.587414,1
2,Kmeans,0.143039,0
2,Kmeans,0.667599,1
2,Kmeans,0.585224,1
2,Kmeans,0.715394,1
2,Kmeans,0.693502,1
2,Kmeans,0.596943,1
2,Kmeans,0.696127,1
2,Kmeans,0.383982,1
2,Kmeans,-0.36157,0
2,Kmeans,0.587039,1
2,Kmeans,0.718595,1
2,Kmeans,0.730528,1
2,Kmeans,0.500177,1
2,Kmeans,0.392861,1
2,Kmeans,0.582314,1
2,Kmeans,0.69028,1
2,Kmeans,-0.02795,0
2,Kmeans,0.632876,1
2,Kmeans,0.591599,1
2,Kmeans,0.723116,1
2,Kmeans,-0.02795,0
2,Kmeans,0.531505,1
2,Kmeans,0.65024,1
2,Kmeans,0.659486,1
2,Kmeans,0.633674,1
2,Kmeans,0.710897,1
2,Kmeans,0.717127,1
2,Kmeans,-0.283028,0
2,Kmeans,0.684138,1
2,Kmeans,0.73743,1
2,Kmeans,0.608705,1
2,Kmeans,0.489775,1
2,Kmeans,0.71395,1
2,Kmeans,0.723178,1
2,Kmeans,0.671634,1
2,Kmeans,0.697075,1
2,Kmeans,0.553425,1
2,Kmeans,0.386792,1
2,Kmeans,0.727751,1
2,Kmeans,0.566537,1
2,Kmeans,0.70256,1
2,Kmeans,0.217634,0
2,Kmeans,0.658929,1
2,Kmeans,0.681469,1
2,Kmeans,0.671678,1
2,Kmeans,0.599808,1
2,Kmeans,0.432709,1
2,Kmeans,0.308817,1
2,Kmeans,0.692737,1
2,Kmeans,0.398311,1
2,Kmeans,0.675013,1
2,Kmeans,0.646675,1
2,Kmeans,0.730858,1
2,Kmeans,0.651028,1
2,Kmeans,0.66419,1
2,Kmeans,0.522144,1
2,Kmeans,0.604566,1
2,Kmeans,0.700477,1
2,Kmeans,0.723202,1
2,Kmeans,0.718387,1
2,Kmeans,0.593172,1
2,Kmeans,0.634284,1
2,Kmeans,0.464927,1
2,Kmeans,0.656608,1
2,Kmeans,0.506206,1
2,Kmeans,0.576393,1
2,Kmeans,0.708252,1
2,Kmeans,0.582962,1
2,Kmeans,-0.374741,0
2,Kmeans,0.723022,1
2,Kmeans,0.596354,1
2,Kmeans,0.673643,1
2,Kmeans,0.658034,1
2,Kmeans,0.048938,1
2,Kmeans,0.720803,1
2,Kmeans,0.668123,1
2,Kmeans,0.723116,1
2,Kmeans,0.628068,1
2,Kmeans,0.53886,1
2,Kmeans,-0.246191,0
2,Kmeans,0.658946,1
2,Kmeans,0.525543,1
2,Kmeans,0.704543,1
2,Kmeans,0.710288,1
2,Kmeans,0.711214,1
2,Kmeans,0.639327,1
2,Kmeans,0.689056,1
2,Kmeans,0.690426,1
2,Kmeans,0.640989,1
2,Kmeans,0.668794,1
2,Kmeans,-0.02829,0
2,Kmeans,0.675013,1
2,Kmeans,0.671875,1
2,Kmeans,0.589166,1
2,Kmeans,0.717914,1
2,Kmeans,0.683992,1
2,Kmeans,0.736051,1
2,Kmeans,0.696858,1
2,Kmeans,0.73298,1
2,Kmeans,0.596943,1
2,Kmeans,0.652652,1
2,Kmeans,0.682353,1
2,Kmeans,0.699529,1
2,Kmeans,0.547925,1
2,Kmeans,0.716973,1
2,Kmeans,0.597606,1
2,Kmeans,0.675562,1
2,Kmeans,0.225296,0
2,Kmeans,0.690262,1
2,Kmeans,0.573882,1
2,Kmeans,0.721288,1
2,Kmeans,0.545048,1
2,Kmeans,0.700999,1
2,Kmeans,0.724204,1
2,Kmeans,0.723022,1
2,Kmeans,0.600041,1
2,Kmeans,0.618697,1
2,Kmeans,0.706391,1
2,Kmeans,0.698857,1
2,Kmeans,0.543595,1
2,Kmeans,0.700935,1
2,Kmeans,0.505559,1
2,Kmeans,0.507984,1
2,Kmeans,0.662429,1
2,Kmeans,0.711498,1
2,Kmeans,0.696385,1
