k,GMM,Kmeans
2,0.3235229691508614,0.5879217773307603
3,0.019537185854451414,0.12530330928091918
4,0.016698073984839815,0.2530227735066358
5,-0.022253905815481003,0.30276908410359354
6,0.018928536627088863,0.19522098717677117
7,-0.05762403074272502,0.2962122962785938
8,-0.04159996507914081,0.2138264371470657
9,-0.027021657494149923,0.18437323235912184
10,-0.029049762485973022,0.21643120730834947
15,-0.06510968360268235,0.16016419213851288
20,-0.061816266383211665,0.16880834258210045
25,-0.1316787403647877,0.2232940829117415
30,-0.13441421789313404,0.17177794962456447
35,-0.06225433585362735,0.1818442380282776
40,-0.10934646950105327,0.17193729584961767
