k,GMM,Kmeans
2,0.010993504144106136,0.0007509320792092921
3,0.005971725657341365,0.0004958313413369477
4,0.004621199073538047,0.0007693939991288538
5,0.0057522962539202985,0.0008249736945284357
6,0.005952530879288948,0.013226188172522049
7,0.004398668056202236,0.036692987272266275
8,0.02155816574153072,0.0027916423784558903
9,0.022160791153464934,0.002741054763723801
10,0.020443367798808936,0.017458581336281566
15,0.018931224862154185,0.024677230032425237
20,0.012964686573876881,0.021145614551516777
25,0.01378578217641057,0.01926230281092712
30,0.01702913543224157,0.019243049958865305
35,0.015013158439213917,0.016951804256486333
40,0.01655564377036902,0.016652627180732255
