,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,3.2836814403533934,0.6057170374732458,0.010182809829711915,0.0010915985664084035,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5000000000000001,7.446335752961717e-17,183,0.5000000000000001,0.49999999999999983,0.49999999999999983,0.49999999999999994,0.5,0.5,1.1905815549843722e-16
1,3.480377769470215,0.3263037962267501,0.011014509201049804,0.0005809691925284558,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5000000000000001,7.446335752961717e-17,183,0.5000000000000001,0.49999999999999983,0.49999999999999983,0.49999999999999994,0.5,0.5,1.1905815549843722e-16
2,4.210035181045532,0.36554090551074336,0.015419244766235352,0.0027471643896748886,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5000000000000001,7.446335752961717e-17,183,0.5000000000000001,0.49999999999999983,0.49999999999999983,0.49999999999999994,0.5,0.5,1.1905815549843722e-16
3,5.2596642017364506,0.5925124220355644,0.01688103675842285,0.004550741793468717,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5000000000000001,7.446335752961717e-17,183,0.5000000000000001,0.49999999999999983,0.49999999999999983,0.49999999999999994,0.5,0.5,1.1905815549843722e-16
4,6.070763301849365,1.0845900628457459,0.017779111862182617,0.002233772624240678,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5539402493530933,0.5107843804659008,0.021573347200098812,121,0.5000000000000001,0.49999999999999983,0.49999999999999983,0.49999999999999994,0.5506641928112969,0.5101328385622593,0.020265677124518773
5,7.460144519805908,1.6014529594120361,0.02110748291015625,0.004382569364531298,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5000000000000001,7.446335752961717e-17,183,0.5000000000000001,0.49999999999999983,0.49999999999999983,0.49999999999999994,0.5,0.5,1.1905815549843722e-16
6,8.348496198654175,1.8326259921446444,0.02263751029968262,0.00488170131877129,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.570912402149196,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5141873044027745,0.028368578198521326,98,0.5792044605138285,0.49999999999999983,0.49999999999999983,0.49999999999999994,0.5,0.5158408921027655,0.03168178420553142
7,9.852272367477417,3.0300636666445486,0.02251286506652832,0.002433157548876876,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.5892479826132454,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.49999999999999994,0.5178556678139833,0.035703745707235626,79,0.5918148395441223,0.49999999999999983,0.49999999999999983,0.49999999999999994,0.5,0.5183629679088243,0.03672593581764896
8,10.783396530151368,2.3013747547055936,0.03844046592712402,0.01165111753384747,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5446019482700707,0.49999999999999994,0.5089203896540142,0.01784077930802825,128,0.5000000000000001,0.49999999999999983,0.49999999999999983,0.5542084080891562,0.5,0.5108416816178312,0.02168336323566249
9,16.517906284332277,4.264710129030338,0.03269824981689453,0.005758177677517507,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.5000000000000001,0.5000000000000001,0.5560463553913337,0.5000000000000001,0.49999999999999994,0.5112092710782667,0.022418542156533466,120,0.5000000000000001,0.49999999999999983,0.559072998832745,0.49999999999999994,0.5,0.511814599766549,0.023629199533098
