k,GMM,Kmeans
2,0.6060337178349601,0.6060337178349601
3,0.7062999112688554,0.6060337178349601
4,0.7373558118899733,0.6925465838509317
5,0.7404614019520852,0.7275953859804791
6,0.7648624667258208,0.6921029281277729
7,0.7688553682342503,0.6876663708961845
8,0.8318544809228039,0.6211180124223602
9,0.8598047914818101,0.6894409937888198
10,0.8802129547471162,0.686779059449867
15,0.8287488908606921,0.6956521739130435
20,0.839396628216504,0.7475598935226264
25,0.8207630878438332,0.7528837622005324
30,0.8456078083407276,0.6863354037267081
35,0.8154392191659272,0.7169476486246673
40,0.80301685891748,0.7524401064773736
