k,GMM,Kmeans
2,0.10832573943461342,0.032278986014227386
3,0.14301427605175349,0.1021108683354162
4,0.12619422346015732,0.10267970700330266
5,0.1259601142500727,0.03589903448976937
6,0.12225240038639681,0.08216935484256863
7,0.13581728776817303,0.11057508745709965
8,0.138008856331916,0.09262243366831245
9,0.1498537077177721,0.09033635163365798
10,0.14585818795630492,0.060196407117604864
15,0.11261126394101734,0.11424813485847338
20,0.11016907051042446,0.0949753319254574
25,0.1095300142455635,0.06694915851070507
30,0.1059807466630087,0.07730392904629917
35,0.08689320210865872,0.0727006500226056
40,0.08590415788480936,0.063021227869632
