k,type,score,label
2,Kmeans,0.034545,1
2,Kmeans,0.055953,1
2,Kmeans,0.007735,1
2,Kmeans,0.016364,1
2,Kmeans,0.000295,1
2,Kmeans,0.020045,1
2,Kmeans,0.052943,1
2,Kmeans,0.032451,1
2,Kmeans,0.078619,1
2,Kmeans,0.056235,1
2,Kmeans,0.01608,1
2,Kmeans,0.045247,1
2,Kmeans,0.044276,1
2,Kmeans,0.018503,1
2,Kmeans,0.031174,1
2,Kmeans,0.029831,1
2,Kmeans,0.006752,1
2,Kmeans,0.086023,1
2,Kmeans,0.081698,1
2,Kmeans,0.086645,1
2,Kmeans,0.020073,1
2,Kmeans,0.003981,1
2,Kmeans,0.062959,1
2,Kmeans,0.010999,1
2,Kmeans,-0.001735,1
2,Kmeans,0.021532,1
2,Kmeans,0.007245,1
2,Kmeans,-0.000707,1
2,Kmeans,0.019623,1
2,Kmeans,0.01568,1
2,Kmeans,0.02961,1
2,Kmeans,0.004163,1
2,Kmeans,0.023166,1
2,Kmeans,0.004613,1
2,Kmeans,0.050356,1
2,Kmeans,0.076938,1
2,Kmeans,0.014209,1
2,Kmeans,0.056379,1
2,Kmeans,0.013954,1
2,Kmeans,0.057256,1
2,Kmeans,0.007851,1
2,Kmeans,0.010117,1
2,Kmeans,0.015794,1
2,Kmeans,0.037649,1
2,Kmeans,0.065327,1
2,Kmeans,0.065441,1
2,Kmeans,0.022635,1
2,Kmeans,0.023293,1
2,Kmeans,0.040927,1
2,Kmeans,0.016999,1
2,Kmeans,0.054111,1
2,Kmeans,0.047128,1
2,Kmeans,0.037718,1
2,Kmeans,0.042028,1
2,Kmeans,0.046772,1
2,Kmeans,0.033032,1
2,Kmeans,0.003962,1
2,Kmeans,0.075914,1
2,Kmeans,0.025578,1
2,Kmeans,0.06563,1
2,Kmeans,0.065365,1
2,Kmeans,0.045407,1
2,Kmeans,0.009301,1
2,Kmeans,0.047394,1
2,Kmeans,0.018206,1
2,Kmeans,0.051291,1
2,Kmeans,0.070746,1
2,Kmeans,-0.001016,1
2,Kmeans,0.054602,1
2,Kmeans,0.061241,1
2,Kmeans,0.049192,1
2,Kmeans,0.000177,1
2,Kmeans,0.045039,1
2,Kmeans,5.2e-05,1
2,Kmeans,0.065789,1
2,Kmeans,0.030517,1
2,Kmeans,0.024779,1
2,Kmeans,0.037896,1
