k,GMM,Kmeans
2,0.19766847872714152,0.05330031724813764
3,0.012949656751806485,0.3586470423833079
4,-0.04014541312324615,0.17455315848839753
5,-0.029689043809851785,0.09253086891853174
6,-0.02720432903414527,0.08239982444088034
7,-0.018928955811287687,0.05828242534817289
8,-0.059033331866397254,0.06630913769192003
9,-0.01951251491165206,0.07060102327298241
10,-0.018680121298895302,0.09930045851821052
15,-0.06354521305678092,0.07098175161970396
20,-0.04277788133089833,0.0941170738725487
25,0.011726927628969193,0.08646421454130941
30,0.00042620794465252136,0.10576164382034771
35,0.005924780436369015,0.11657724131943435
40,0.018080521227144337,0.11459753685172741
