k,GMM,Kmeans
2,0.6060337178349601,0.6060337178349601
3,0.6060337178349601,0.6060337178349601
4,0.6060337178349601,0.6060337178349601
5,0.7546583850931677,0.6060337178349601
6,0.8380656610470275,0.8553682342502218
7,0.8358473824312334,0.8544809228039042
8,0.8300798580301686,0.8376220053238687
9,0.8300798580301686,0.80301685891748
10,0.8300798580301686,0.8376220053238687
15,0.834072759538598,0.842058562555457
20,0.8425022182786158,0.8482697426796806
25,0.8425022182786158,0.8389529724933452
30,0.8425022182786158,0.854924578527063
35,0.8562555456965395,0.8566992014196984
40,0.8518189884649512,0.8593611357586513
