k,GMM,Kmeans
2,0.12366455877937685,0.005992048658462389
3,0.1356158105518489,0.3444890673630727
4,0.0899796607805809,0.27898757135581986
5,0.07864266666867137,0.27270669016688404
6,0.11508996980972974,0.24560269313933086
7,0.11283765753639509,0.24101601327521552
8,0.10453483677941515,0.20598512382487383
9,0.11534774810986302,0.1970662721972203
10,0.115679956791332,0.19066880541972386
15,0.12510217370503898,0.13864355498670788
20,0.1251312194007933,0.12255052953877346
25,0.09597783210249296,0.1184621130836487
30,0.09118826102878058,0.10987953828578163
35,0.09581026896124115,0.10582344220024494
40,0.085464875425932,0.10261080067565818
