k,type,score,label
2,Kmeans,0.964277,0
2,Kmeans,0.957,0
2,Kmeans,0.966467,0
2,Kmeans,0.949365,0
2,Kmeans,0.895344,0
2,Kmeans,0.955956,0
2,Kmeans,0.963185,0
2,Kmeans,0.919308,0
2,Kmeans,0.967806,0
2,Kmeans,0.965917,0
2,Kmeans,0.962288,0
2,Kmeans,0.95413,0
2,Kmeans,0.7004,0
2,Kmeans,0.952752,0
2,Kmeans,0.914401,0
2,Kmeans,0.967719,0
2,Kmeans,0.94848,0
2,Kmeans,0.967721,0
2,Kmeans,0.967803,0
2,Kmeans,0.967169,0
2,Kmeans,0.56081,0
2,Kmeans,0.911146,0
2,Kmeans,0.966978,0
2,Kmeans,0.957277,0
2,Kmeans,0.926137,0
2,Kmeans,0.910665,0
2,Kmeans,0.882438,0
2,Kmeans,0.965933,0
2,Kmeans,0.763678,0
2,Kmeans,0.944978,0
2,Kmeans,0.962222,0
2,Kmeans,0.952114,0
2,Kmeans,0.963851,0
2,Kmeans,0.717136,1
2,Kmeans,0.967804,0
2,Kmeans,0.965845,0
2,Kmeans,0.940219,0
2,Kmeans,0.967807,0
2,Kmeans,0.967656,0
2,Kmeans,0.956925,0
2,Kmeans,0.779008,0
2,Kmeans,0.947164,0
2,Kmeans,0.949644,0
2,Kmeans,0.96778,0
2,Kmeans,0.945543,0
2,Kmeans,0.967556,0
2,Kmeans,0.967072,0
2,Kmeans,0.94839,0
2,Kmeans,0.967797,0
2,Kmeans,0.957907,0
2,Kmeans,0.961612,0
2,Kmeans,0.957238,0
2,Kmeans,0.962569,0
2,Kmeans,0.966881,0
2,Kmeans,0.966805,0
2,Kmeans,0.961909,0
2,Kmeans,0.867696,0
2,Kmeans,0.966146,0
2,Kmeans,0.953378,0
2,Kmeans,0.966016,0
2,Kmeans,0.965186,0
2,Kmeans,0.967108,0
2,Kmeans,0.96364,0
2,Kmeans,0.959664,0
2,Kmeans,0.929295,0
2,Kmeans,0.964081,0
2,Kmeans,0.966292,0
2,Kmeans,0.964889,0
2,Kmeans,0.967807,0
2,Kmeans,0.964094,0
2,Kmeans,0.9665,0
2,Kmeans,0.895916,0
2,Kmeans,0.962474,0
2,Kmeans,0.951116,0
2,Kmeans,0.945029,0
2,Kmeans,0.967772,0
2,Kmeans,0.949519,0
2,Kmeans,0.947101,0
2,Kmeans,0.95631,0
