k,GMM,Kmeans
2,0.33196755818458934,0.8606290727691537
3,0.16066595205827683,0.35328266289311033
4,0.1763690336662638,0.3901044626010887
5,0.14124947224186624,0.38817450361022676
6,0.061485022912642115,0.33795870804610184
7,0.06142319686263204,0.3469996252108068
8,0.046253016196528676,0.36502871597694103
9,0.050803788817673626,0.36984044309658576
10,0.0049487817998445155,0.3577112923648231
15,0.052017942682100686,0.25739052478412594
20,0.06262116580636441,0.26274632542483684
25,0.023242197838935802,0.25636318838170596
30,0.03135510990552206,0.25290123751544236
35,0.00969899992702847,0.24496389338042512
40,0.03281298642067095,0.24051293844855756
