,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.753209400177002,0.11021249973923045,0.0015989303588867187,0.002057356137704449,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 2}",0.8404665120139609,0.8824638592080453,0.8308497251473608,0.8471389204084941,0.8693498452012364,0.8540448024165689,0.01903618903553971,366,0.8638285203929714,0.8615403788634012,0.8522536965203236,0.8463527323541143,0.8571740074151039,0.8562298671091829,0.006327719830360352
1,1.4876739978790283,0.2332107058484097,0.009374332427978516,0.0076541104061255555,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 5}",0.8745619734361517,0.892926534684661,0.8845918821786999,0.8983564372872915,0.8923972269965558,0.8885612720180507,0.008267202870725042,331,0.8982966087938842,0.889332003988029,0.8938835767957959,0.9052939005554006,0.8865083989006527,0.8946628978067526,0.0066594849280401614
2,1.309369945526123,0.244548375333369,0.003125,0.006250000000000001,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 8}",0.8861586789578819,0.8977161139092147,0.8969107093356331,0.9034964178556122,0.9093358480398748,0.8987163557410462,0.007715548631704964,302,0.899494162593642,0.8896038912412654,0.9009036438865945,0.9124265821949397,0.9114853240185657,0.9027827207870015,0.008447087770893279
3,1.2781224727630616,0.3418114071674457,0.006250429153442383,0.007655181058956885,0.1,"(50, 50)",11,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 11}",0.8792744208849123,0.9070822188626586,0.8983564372872914,0.9107724102299148,0.9005888465535142,0.8992082473768047,0.010920919535665517,295,0.9054438425960258,0.9082032407977435,0.896653570475597,0.9077061922127619,0.9142996226700025,0.9064612937504262,0.005714021257150987
4,0.9781218528747558,0.13426555903125645,0.0,0.0,0.1,"(50, 50)",14,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 14}",0.9012487961983549,0.9123759791122716,0.9031167855801728,0.899255767033465,0.8959498159007212,0.9023910744110523,0.005527881014837884,277,0.9194111525706137,0.9133820916830245,0.9143677719725213,0.9076609982408279,0.8999972357109354,0.9109638500355846,0.006632751420944547
5,1.1499949932098388,0.1735982450903099,0.009376287460327148,0.007655706788287145,0.1,"(50, 50)",17,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 17}",0.9047118216238956,0.9223779342966506,0.9083017509686434,0.9099620849131288,0.9195021948306428,0.9129665640429876,0.006786103299336381,172,0.9187353885249164,0.9205189085339837,0.9110780965494699,0.9128834920196811,0.9320404102593745,0.9190512591774851,0.007383555901279487
6,1.287497329711914,0.4008793932009122,0.006249189376831055,0.0076536630440264,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 20}",0.9138530066815143,0.8746307843780768,0.9155785471656954,0.9149302354170511,0.9173190204073163,0.9072612424081525,0.016353950287220517,239,0.9444780797036921,0.8603333213519676,0.9237062417678047,0.9300842929805303,0.9341708547558812,0.9185545581119753,0.029883389142065064
7,1.5562449455261231,0.353220592495103,0.0031252384185791017,0.0062504768371582035,0.1,"(50, 50)",23,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 23}",0.9114266749593639,0.9409828783718304,0.9182328073333055,0.9185153188732221,0.9272048001811378,0.9232675959048833,0.010175137294170423,59,0.9293172351225398,0.9372500734500874,0.9192989161593226,0.933276023934211,0.9447137759108325,0.9327712049153988,0.008442423576566533
8,1.2812448024749756,0.29761330003083697,0.00625004768371582,0.007654713849925503,0.1,"(50, 50)",26,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 26}",0.8710559060209407,0.9214100602616542,0.9182328073333056,0.9230864222940294,0.9293535199983556,0.9126096383325957,0.021109934122048257,177,0.9024510681890063,0.9163288381456609,0.9311191355380066,0.9324183065945513,0.9454593450805284,0.9255553387095506,0.01478621832583816
9,1.749992847442627,0.5175596241174619,0.0,0.0,0.1,"(50, 50)",29,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'pca__n_components': 29}",0.9104086256083236,0.9288777993153794,0.8978548239937194,0.9167880174745165,0.9381717678370347,0.9184115847519349,0.014062456129937418,107,0.9372625179430876,0.933499203189056,0.91018514880546,0.9235120325244268,0.9474955952031205,0.9303908995330303,0.01268891231701651
