k,GMM,Kmeans
2,0.8230612244897959,0.7824489795918367
3,0.7824489795918367,0.7824489795918367
4,0.7824489795918367,0.8230612244897959
5,0.8230612244897959,0.8230612244897959
6,0.8230612244897959,0.8230612244897959
7,0.8230612244897959,0.8230612244897959
8,0.8231292517006803,0.8230612244897959
9,0.8231292517006803,0.8231292517006803
10,0.8231292517006803,0.8233333333333334
15,0.8233333333333334,0.8233333333333334
20,0.8233333333333334,0.8233333333333334
25,0.8233333333333334,0.8233333333333334
30,0.8233333333333334,0.8233333333333334
35,0.8233333333333334,0.8233333333333334
40,0.8233333333333334,0.8233333333333334
