k,GMM,Kmeans
2,0.7834960070984915,0.8438331854480923
3,0.7834960070984915,0.8407275953859805
4,0.7156166814551908,0.8407275953859805
5,0.8114463176574978,0.8380656610470275
6,0.8606921029281278,0.8349600709849158
7,0.8992901508429458,0.8194321206743567
8,0.9063886424134872,0.7985803016858918
9,0.9134871339840284,0.8007985803016859
10,0.9112688553682342,0.7941437444543035
15,0.9121561668145519,0.7897071872227152
20,0.8984028393966282,0.7994676131322094
25,0.9121561668145519,0.7941437444543035
30,0.9094942324755989,0.80301685891748
35,0.9099378881987578,0.8070097604259094
40,0.904170363797693,0.8185448092280391
