k,GMM,Kmeans
2,0.3448164538226694,0.3597572133518414
3,0.3369296565026926,0.3462652516361677
4,0.2115130146299261,0.2878086608909156
5,0.2242669338733828,0.26289043573692117
6,0.2023947557232014,0.2472891590641112
7,0.21984033633782002,0.18503517113920587
8,0.21801218617218038,0.1483288810321988
9,0.22685372988075614,0.14981108789729553
10,0.22021261824457095,0.1392159680180329
15,0.19518722361429075,0.11839434679403206
20,0.18262459022198327,0.11081298537766802
25,0.17385843861869668,0.09620814453524963
30,0.17237124437178122,0.09329039946516934
35,0.15033184271433656,0.0914991091504038
40,0.15550877958955622,0.09417344161812156
