k,type,score,label
2,Kmeans,0.235864,0
2,Kmeans,0.425757,0
2,Kmeans,0.284019,0
2,Kmeans,0.10928,1
2,Kmeans,0.416305,0
2,Kmeans,-0.108169,1
2,Kmeans,-0.178021,1
2,Kmeans,0.289776,0
2,Kmeans,0.371033,0
2,Kmeans,-0.028842,1
2,Kmeans,0.040192,1
2,Kmeans,0.40541,0
2,Kmeans,0.336887,0
2,Kmeans,0.118478,1
2,Kmeans,0.450896,0
2,Kmeans,-0.178812,1
2,Kmeans,0.057398,1
2,Kmeans,0.351982,0
2,Kmeans,0.291116,0
2,Kmeans,0.475185,0
2,Kmeans,0.158134,0
2,Kmeans,0.475638,0
2,Kmeans,-0.004842,1
2,Kmeans,0.328604,0
2,Kmeans,0.018389,1
2,Kmeans,0.373455,0
2,Kmeans,0.143828,0
2,Kmeans,0.463653,0
2,Kmeans,0.265413,0
2,Kmeans,-0.020452,1
2,Kmeans,-0.109907,1
2,Kmeans,0.068678,1
2,Kmeans,-0.012903,1
2,Kmeans,0.16855,0
2,Kmeans,-0.015815,1
2,Kmeans,-0.175026,1
2,Kmeans,0.418264,0
2,Kmeans,0.196151,0
2,Kmeans,0.326716,0
2,Kmeans,0.019801,1
2,Kmeans,0.209499,0
2,Kmeans,0.004177,1
2,Kmeans,0.350921,0
2,Kmeans,0.250911,0
2,Kmeans,0.285236,0
2,Kmeans,0.304211,0
2,Kmeans,0.142544,0
2,Kmeans,0.108854,1
2,Kmeans,0.314197,0
2,Kmeans,-0.087923,1
2,Kmeans,-0.214047,1
2,Kmeans,-0.08361,1
2,Kmeans,0.155045,0
2,Kmeans,-0.106395,1
2,Kmeans,0.371842,0
2,Kmeans,0.228915,0
2,Kmeans,0.208191,0
2,Kmeans,0.427235,0
2,Kmeans,0.064503,1
2,Kmeans,0.02839,1
2,Kmeans,-0.079312,1
2,Kmeans,-0.043745,1
2,Kmeans,0.053192,1
2,Kmeans,0.082191,1
2,Kmeans,0.207228,0
2,Kmeans,0.043294,1
2,Kmeans,-0.221651,1
2,Kmeans,0.475208,0
2,Kmeans,0.439049,0
2,Kmeans,-0.020731,1
2,Kmeans,0.208633,0
2,Kmeans,0.247103,0
2,Kmeans,0.424666,0
2,Kmeans,0.008098,1
2,Kmeans,0.458426,0
2,Kmeans,0.329886,0
2,Kmeans,-0.086342,1
2,Kmeans,0.069657,1
2,Kmeans,0.060676,1
2,Kmeans,0.221789,0
2,Kmeans,0.13978,0
2,Kmeans,0.243149,0
2,Kmeans,0.106004,1
2,Kmeans,0.089021,1
2,Kmeans,0.216645,0
2,Kmeans,0.389116,0
2,Kmeans,0.38468,0
2,Kmeans,0.378128,0
2,Kmeans,0.475786,0
2,Kmeans,0.151675,0
2,Kmeans,0.102395,1
2,Kmeans,0.475237,0
2,Kmeans,0.007949,1
2,Kmeans,0.13978,0
2,Kmeans,0.059,1
2,Kmeans,0.104798,1
2,Kmeans,0.261633,0
2,Kmeans,0.342522,0
2,Kmeans,0.338995,0
2,Kmeans,-0.191063,1
2,Kmeans,-0.147193,1
2,Kmeans,0.418747,0
2,Kmeans,0.191194,0
2,Kmeans,0.349435,0
2,Kmeans,-0.111219,1
2,Kmeans,0.093269,1
2,Kmeans,0.007346,1
2,Kmeans,0.084264,1
2,Kmeans,0.418743,0
2,Kmeans,-0.033079,1
2,Kmeans,0.289499,0
2,Kmeans,-0.185797,1
2,Kmeans,0.179196,0
2,Kmeans,0.342255,0
2,Kmeans,0.400772,0
2,Kmeans,0.475412,0
2,Kmeans,0.349893,0
2,Kmeans,-0.062522,1
2,Kmeans,0.209288,0
2,Kmeans,0.3487,0
2,Kmeans,0.095134,0
2,Kmeans,0.204807,0
2,Kmeans,0.042547,1
2,Kmeans,-0.084874,1
2,Kmeans,0.040985,1
2,Kmeans,0.460198,0
2,Kmeans,-0.078797,1
2,Kmeans,0.202902,0
2,Kmeans,0.007089,1
2,Kmeans,-0.202513,1
2,Kmeans,0.393795,0
2,Kmeans,0.140761,0
2,Kmeans,0.438355,0
2,Kmeans,0.355239,0
2,Kmeans,0.43637,0
2,Kmeans,0.084794,1
2,Kmeans,0.386626,0
2,Kmeans,0.459637,0
2,Kmeans,-0.005633,1
2,Kmeans,0.083607,1
2,Kmeans,0.434036,0
2,Kmeans,0.458382,0
2,Kmeans,0.376592,0
2,Kmeans,0.430869,0
2,Kmeans,-0.105574,1
2,Kmeans,-0.084518,1
2,Kmeans,-0.104664,1
2,Kmeans,-0.108641,1
2,Kmeans,0.101839,1
2,Kmeans,-0.098896,1
2,Kmeans,-0.23819,1
2,Kmeans,0.029671,1
2,Kmeans,0.198314,0
