k,GMM,Kmeans
2,0.07465947865671584,0.19924500685575294
3,0.08021079400061672,0.19594099331430082
4,0.10281895520026349,0.2245214757796307
5,0.07110642724352888,0.23851970173226472
6,0.06389836188703862,0.23543117643611047
7,0.02021527990265813,0.2647546710192893
8,-0.04408327147960065,0.23668408760879833
9,-0.010642197840401532,0.2420296199432068
10,0.02747956029389546,0.2598447736101802
15,-0.017119917432411563,0.25560071073982144
20,-0.09135672240668428,0.22585224493405703
25,-0.19656067302806576,0.25025291916970477
30,-0.16990799095612782,0.2153938435957955
35,-0.1663525287979356,0.25149912190935014
40,-0.21133655802167714,0.25549916738316614
