,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_filter__n,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.6881961345672607,0.07368594006298482,0.13750095367431642,0.033365490161123314,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 2}",0.7687457627118645,0.7941303409581354,0.7922582373426198,0.8120928678804076,0.8404207025930179,0.8015073229991092,0.023828157620442672,357,0.8079792686598555,0.8010383721700498,0.8068903298834854,0.8081207183231034,0.8027903634368714,0.8053638104946732,0.0029018432105173296
1,1.5779179096221925,0.07910348177625817,0.11874980926513672,0.00765557040724092,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 3}",0.7808553370627151,0.8140620708596541,0.8066002742620777,0.8213855319915756,0.8439240325574734,0.8133458627953033,0.020501210745285707,351,0.8243093384875807,0.8244761499351831,0.8033141210374586,0.8114466546987054,0.8161685607022143,0.8159429649722284,0.008032021539417514
2,1.4718642234802246,0.28235960376160374,0.11562414169311523,0.007653799004240736,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 4}",0.816790013125925,0.8426389423694007,0.8281682853477921,0.8527602619460428,0.8523934782728056,0.8385391392356396,0.01408550308879111,315,0.8663658451926389,0.8585646546319128,0.847142393131001,0.8631778220909961,0.8237086238714852,0.8517918677836068,0.015480294686306581
3,1.0968725204467773,0.1633982189261841,0.12812418937683107,0.0062504053140854205,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 5}",0.7938266719430156,0.8062857982082536,0.8216230753714786,0.8563021744703143,0.8902283162661518,0.8336232688529848,0.03518823420585228,328,0.8510198238840903,0.8205981287346235,0.8268739368143065,0.8512145992279172,0.8786028641285444,0.8456618705578963,0.020619539885687158
4,1.4593708038330078,0.2834286569194812,0.12187466621398926,0.0062501907366822144,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 6}",0.8533099405194914,0.8792042394974146,0.876864273401784,0.8825955457794886,0.8821757375247057,0.8748209828113453,0.010966163275150992,265,0.9006204558538179,0.8670164577985723,0.8705730723251562,0.8854577381586618,0.873041047175912,0.879341754262424,0.012318198131735444
5,1.58437123298645,0.5813323019092703,0.12187423706054687,0.006249856964314303,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 7}",0.8406238113351083,0.883710636145188,0.898636335071954,0.893041808243463,0.901494681931059,0.8834825505482748,0.022292265569092917,253,0.8826660774190932,0.8752862015793578,0.8923244816296769,0.9119210221952913,0.8905037885360704,0.890540314271898,0.012288293768023116
6,1.0499974727630614,0.09550395404202826,0.13124918937683105,0.02898018120556598,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 8}",0.8638143360237985,0.8895647215358299,0.9182328073333056,0.8860000631054178,0.8881132647686324,0.8891374923022339,0.017319750283198047,245,0.8878936319104246,0.8935462055307619,0.8974192676045947,0.8990174735362829,0.878130495957947,0.8912014149080022,0.007576818042685215
7,1.3749950885772706,0.4474298450633294,0.11874980926513672,0.007654499721240149,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 9}",0.8710559060209407,0.8781968300934437,0.8841522941750733,0.9020785799510184,0.9107162403765449,0.8892276532493807,0.014861710230533164,242,0.8957547945683414,0.8844844985801049,0.8789509588418024,0.91389253069045,0.8947717585418976,0.8935709082445193,0.011962320016406588
8,1.2906214237213134,0.2064853943387662,0.12812380790710448,0.006250119269997164,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 10}",0.8851916320493789,0.9148027142498115,0.85892729962198,0.9065418612408273,0.9071274298056142,0.8945113750339706,0.020340145709735934,221,0.9173898019989161,0.9130848907851894,0.8570726927230891,0.9188802842627569,0.9032199562151648,0.9019295251970233,0.02308502200522459
9,1.368747854232788,0.20624809987916073,0.12499833106994629,1.6310340286719389e-06,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'filter__n': 15}",0.8958768295163759,0.9252431472029087,0.926580042891384,0.9099620849131287,0.9190526687875563,0.9153357571966586,0.011371002617796687,146,0.922152834056346,0.9269505962521252,0.9039873452747641,0.9310281313173766,0.9225801313049758,0.9213398076411176,0.009259070465355294
