k,GMM,Kmeans
2,0.7787755102040816,0.7787755102040816
3,0.7787755102040816,0.7787755102040816
4,0.7787755102040816,0.7787755102040816
5,0.7787755102040816,0.7787755102040816
6,0.7787755102040816,0.7787755102040816
7,0.7787755102040816,0.7787755102040816
8,0.7787755102040816,0.7787755102040816
9,0.7787755102040816,0.7787755102040816
10,0.7787755102040816,0.7787755102040816
15,0.7787755102040816,0.7787755102040816
20,0.7806802721088435,0.7790476190476191
25,0.7863265306122449,0.7796598639455782
30,0.7928571428571428,0.7805442176870748
35,0.7895918367346939,0.7828571428571428
40,0.7893197278911565,0.7806122448979592
