k,GMM,Kmeans
2,0.0021814448613288713,-4.893736415013424e-05
3,0.009877900486460582,0.005312743356278032
4,0.00833219879385089,0.005999803748940616
5,0.018673093435842114,0.005639567763725604
6,0.02186980086410602,0.006582440247616593
7,0.01495938112502598,0.006160155322323295
8,0.013658243199999486,0.00836849881580037
9,0.016847615930814887,0.008069855124482392
10,0.014397592420180053,0.007906201924868983
15,0.018033346679688776,0.010618306056179354
20,0.017411455962441286,0.011917972342074867
25,0.017680656143305724,0.01126717526425692
30,0.01781179406267218,0.011401644559689257
35,0.016994567289497404,0.013677339074928192
40,0.01735044267122896,0.011916939216538674
