k,GMM,Kmeans
2,0.3982722525100951,0.4793710175933068
3,-0.000664121302475061,0.23812555659448456
4,-0.02701223619501405,0.234219386528715
5,-0.006053209853936194,0.23898294608526766
6,-0.037403259829214046,0.23961951326904157
7,-0.09603683695348102,0.23632185788709564
8,-0.07470814693581804,0.24560669332747764
9,-0.06945986179316514,0.25197516958329036
10,-0.09722554760061272,0.2469168242511122
15,-0.13106644142334345,0.20153283847622214
20,-0.14068257543415494,0.20274251344477107
25,-0.14425493688815003,0.19815122291279208
30,-0.14068554542899953,0.17572112815356414
35,-0.14264617740835397,0.17741047289202197
40,-0.15446270459478298,0.17946828486187563
