k,GMM,Kmeans
2,0.6060337178349601,0.6060337178349601
3,0.6060337178349601,0.6060337178349601
4,0.6060337178349601,0.6060337178349601
5,0.6291038154392191,0.6433007985803016
6,0.6291038154392191,0.6415261756876663
7,0.6060337178349601,0.639751552795031
8,0.6317657497781721,0.6362023070097604
9,0.64773735581189,0.6521739130434783
10,0.6561668145519077,0.7027506654835848
15,0.645075421472937,0.7045252883762201
20,0.6836734693877551,0.6925465838509317
25,0.6960958296362023,0.6845607808340728
30,0.6992014196983141,0.7187222715173026
35,0.7058562555456965,0.7133984028393966
40,0.738243123336291,0.7080745341614907
