k,GMM,Kmeans
2,0.024740634999914943,0.009525881447949469
3,0.006343774817011389,0.00990908981102247
4,0.022755547853747796,0.011955325181999973
5,0.045650499964266844,0.024119552974657763
6,0.044044953032575,0.020389734322138246
7,0.030876449534659827,0.022091150090702807
8,0.045315754591511444,0.020658793548456622
9,0.04738359463428393,0.022468355239549712
10,0.050740217483082405,0.04367507316539398
15,0.04023684526872476,0.0504999720021928
20,0.057864733178737776,0.03258884882537226
25,0.05838565393642671,0.03574565221915703
30,0.05910495927937959,0.045236994098856
35,0.05637889500763933,0.04225237179193869
40,0.06458951734895414,0.03570363316211856
