k,type,score,label
2,Kmeans,0.015915,1
2,Kmeans,0.33686,0
2,Kmeans,0.21014,1
2,Kmeans,-0.044083,1
2,Kmeans,-0.128277,1
2,Kmeans,0.325871,0
2,Kmeans,0.449299,0
2,Kmeans,0.409275,0
2,Kmeans,0.185829,0
2,Kmeans,0.371203,0
2,Kmeans,0.363599,0
2,Kmeans,0.349178,0
2,Kmeans,0.400307,0
2,Kmeans,0.433067,0
2,Kmeans,0.353746,0
2,Kmeans,0.403197,0
2,Kmeans,0.400722,0
2,Kmeans,0.29345,0
2,Kmeans,0.213861,0
2,Kmeans,0.15913,0
2,Kmeans,0.397067,0
2,Kmeans,0.318136,0
2,Kmeans,0.307783,0
2,Kmeans,0.246604,0
2,Kmeans,0.121824,0
2,Kmeans,-0.074787,1
2,Kmeans,0.041116,1
2,Kmeans,0.400722,0
2,Kmeans,-0.184582,1
2,Kmeans,0.240417,0
2,Kmeans,0.325538,0
2,Kmeans,0.047835,1
2,Kmeans,-0.094501,1
2,Kmeans,0.316895,0
2,Kmeans,0.239078,0
2,Kmeans,0.319488,0
2,Kmeans,0.320963,0
2,Kmeans,0.392057,0
2,Kmeans,0.173457,1
2,Kmeans,0.157264,0
2,Kmeans,0.337036,0
2,Kmeans,0.291282,0
2,Kmeans,0.170575,0
2,Kmeans,-0.14436,1
2,Kmeans,0.294066,0
2,Kmeans,0.254291,0
2,Kmeans,0.039275,1
2,Kmeans,0.169886,0
2,Kmeans,0.339199,0
2,Kmeans,0.261905,0
2,Kmeans,0.362652,0
2,Kmeans,0.299512,0
2,Kmeans,0.096487,1
2,Kmeans,0.167494,0
2,Kmeans,0.408232,0
2,Kmeans,0.336281,0
2,Kmeans,-0.06574,1
2,Kmeans,0.172064,0
2,Kmeans,-0.168396,1
2,Kmeans,0.156886,0
2,Kmeans,0.423172,0
2,Kmeans,0.27535,0
2,Kmeans,0.399813,0
2,Kmeans,0.334649,0
2,Kmeans,0.378187,0
2,Kmeans,0.309959,0
2,Kmeans,0.368557,0
2,Kmeans,0.277307,0
2,Kmeans,0.069508,0
2,Kmeans,0.0834,1
2,Kmeans,0.260238,0
2,Kmeans,0.205831,0
2,Kmeans,0.282036,0
2,Kmeans,0.140351,1
2,Kmeans,0.383475,0
2,Kmeans,0.077118,1
2,Kmeans,-0.200484,1
2,Kmeans,0.348214,0
2,Kmeans,-0.02624,1
2,Kmeans,-0.004726,1
2,Kmeans,0.307733,0
2,Kmeans,0.375866,0
2,Kmeans,-0.144,1
2,Kmeans,0.323533,0
2,Kmeans,0.170759,0
2,Kmeans,0.344697,0
2,Kmeans,0.271805,0
2,Kmeans,0.358589,0
2,Kmeans,-0.116341,1
2,Kmeans,-0.133229,1
2,Kmeans,0.404222,0
2,Kmeans,0.048692,0
2,Kmeans,0.395648,0
2,Kmeans,0.365755,0
2,Kmeans,0.310768,0
2,Kmeans,-0.128138,1
2,Kmeans,0.108414,1
2,Kmeans,0.416914,0
2,Kmeans,0.223314,0
2,Kmeans,0.108444,1
2,Kmeans,-0.121316,1
2,Kmeans,0.242902,0
2,Kmeans,0.346122,0
2,Kmeans,0.238407,0
2,Kmeans,0.190603,1
2,Kmeans,0.318194,0
2,Kmeans,0.310768,0
2,Kmeans,0.380036,0
2,Kmeans,0.218745,0
2,Kmeans,0.372432,0
2,Kmeans,-0.118722,1
2,Kmeans,0.381133,0
2,Kmeans,0.226311,0
2,Kmeans,0.400677,0
2,Kmeans,0.382109,0
2,Kmeans,0.415857,0
2,Kmeans,0.397563,0
2,Kmeans,0.340464,0
2,Kmeans,0.310768,0
2,Kmeans,-0.050964,1
2,Kmeans,0.344088,0
2,Kmeans,0.341074,0
2,Kmeans,-0.018977,1
2,Kmeans,0.103701,0
2,Kmeans,0.349965,0
2,Kmeans,0.403466,0
2,Kmeans,0.337972,0
2,Kmeans,0.361457,0
2,Kmeans,0.396833,0
2,Kmeans,0.346832,0
2,Kmeans,0.205831,0
2,Kmeans,0.363159,0
2,Kmeans,0.440539,0
2,Kmeans,0.443555,0
2,Kmeans,0.41198,0
2,Kmeans,0.217585,0
2,Kmeans,0.387364,0
2,Kmeans,0.384278,0
2,Kmeans,-0.14239,1
2,Kmeans,0.377202,0
2,Kmeans,0.423274,0
2,Kmeans,0.113916,1
2,Kmeans,0.127229,1
2,Kmeans,0.175307,0
2,Kmeans,-0.044126,1
2,Kmeans,0.222787,0
2,Kmeans,0.414848,0
2,Kmeans,0.205721,0
2,Kmeans,0.394347,0
2,Kmeans,0.400568,0
2,Kmeans,0.420159,0
2,Kmeans,0.303725,0
2,Kmeans,0.11359,1
2,Kmeans,0.310755,0
2,Kmeans,0.209716,1
2,Kmeans,0.2589,0
2,Kmeans,0.377877,0
2,Kmeans,0.018105,1
2,Kmeans,0.290165,0
2,Kmeans,0.409294,0
2,Kmeans,-0.078481,1
2,Kmeans,0.248003,0
2,Kmeans,0.337434,0
2,Kmeans,-0.135511,1
2,Kmeans,0.261148,0
2,Kmeans,0.320938,0
2,Kmeans,0.322385,0
2,Kmeans,0.138734,0
2,Kmeans,0.273904,0
2,Kmeans,0.128269,0
2,Kmeans,0.273943,0
2,Kmeans,0.314857,0
2,Kmeans,0.3718,0
2,Kmeans,0.158877,0
2,Kmeans,0.29017,0
2,Kmeans,0.413568,0
2,Kmeans,0.116078,1
2,Kmeans,0.404955,0
2,Kmeans,0.047831,1
2,Kmeans,0.109558,0
2,Kmeans,0.131225,0
