k,GMM,Kmeans
2,0.2668914895483997,0.6808069558498179
3,-0.015655197302926725,0.20779101272490286
4,-0.03460613015877528,0.22685535860441086
5,-0.022708035840329314,0.19746640201114737
6,-0.024309612426192145,0.18557962450753476
7,-0.04302806595472674,0.19488664429123562
8,-0.03428098540952973,0.19052861660803014
9,-0.026229496532042047,0.16793649201945937
10,-0.02955024744794278,0.17194335107495942
15,-0.06546598580054763,0.2106921918050651
20,-0.10282759960282543,0.16268345607150853
25,-0.11698017581236754,0.19590612920165815
30,-0.08329710147673523,0.16540020928629753
35,-0.09263107793911561,0.1782074522171596
40,-0.09334674790650797,0.19152724000380866
